Internal ID,Name,Display Name,Description,Type,On Hand,Available,Preferred Location
276,BUN01R-T,BUN01R-T,Sandwich Shop Burger Bun Top,Inventory Item,2085,2085,Pride Industries
282,BUR01R,BUR01R,Sandwich Shop Burger Patty,Inventory Item,2218,2218,Pride Industries
256,BWLY-SLDA,BWLY-SLDA,Yellow Bowl for Salad Set - EcoPrime,Inventory Item,2646,2646,Pride Industries
3782,CAK-PK,CAK-PK,Cupcake Cake Pink ,Inventory Item,23,23,Pride Industries
3779,CAK-VN,CAK-VN,Cupcake Cake Vanilla ,Inventory Item,9,9,Pride Industries
3785,CAK-YW,CAK-YW,Cupcake Cake Yellow ,Inventory Item,,,Pride Industries
3790,CCKA-2PKA,CCKA-2PKA,Cupcake 2 Pack Version A (PVY + YPV),Assembly/Bill of Materials,673.92,673.92,Pride Industries
3791,CCKA-2PKB,CCKA-2PKB,Cupcake 2 Pack Version B (YPV+VYP),Assembly/Bill of Materials,701.92,701.92,Pride Industries
3792,CCKA-2PKC,CCKA-2PKC,Cupcake 2 Pack Version C (VYP+PVY),Assembly/Bill of Materials,664.92,664.92,Pride Industries
3787,CCKIND-PVY,CCKIND-PVY,"Cupcake (Individual) - Pink Frosting, Vanilla Cake, Yellow Liner",Assembly/Bill of Materials,,,Pride Industries
3789,CCKIND-VYP,CCKIND-VYP,"Cupcake (Individual) - Vanilla Frosting, Yellow Cake, Pink Liner",Assembly/Bill of Materials,,,Pride Industries
3788,CCKIND-YPV,CCKIND-YPV,"Cupcake (Individual) - Yellow Frosting, Pink Cake, Vanilla Liner",Assembly/Bill of Materials,,,Pride Industries
1035,CHS01R-P,CHS01R-P,Pizza Parlor Cheese,Inventory Item,2987,2987,Pride Industries
316,CHS01R-S,CHS01R-S,Sandwich Shop Cheese,Inventory Item,7979,7979,Pride Industries
277,CKN01R,CKN01R,Sandwich Shop Chicken Fillet,Inventory Item,276,276,Pride Industries
242,CON01R-GR,CON01R-GR,Connector 2-Hole - DK Green - CC10118086WE,Inventory Item,14082,14082,Pride Industries
248,CON01R-PR,CON01R-PR,Connector 2-Hole - Purple - CC10107344WE,Inventory Item,14338,14338,Pride Industries
344,CRM01R-PK2,CRM01R-PK2,PBK Pink Creamer,Inventory Item,435,435,Pride Industries
260,CRM01R-R,CRM01R-R,Creamer - Red Cap - CC10126692WE,Inventory Item,324,324,Pride Industries
331,CST01R,CST01R,Pizza Parlor Crust,Inventory Item,5203,5203,Pride Industries
345,CUP01R-PK2,CUP01R-PK2,PBK Pink Tea Cup,Inventory Item,334,334,Pride Industries
261,CUP01R-R,CUP01R-R,Tea Cup - Red Cap - CC10126692WE,Inventory Item,1110,14662,Pride Industries
287,CUT01R,CUT01R,Pizza Parlor Pizza Cutter,Inventory Item,3809,3809,Pride Industries
318,DAISY-LRG-PK,DAISY-LRG-PK,Daisy - Large - Pink,Inventory Item,4052,4052,Pride Industries
