Internal ID,Item,Name,Display Name,Description,Type,On Hand,Available,Preferred Location,NEW LOCATION,QTY2TRNSFR,LINE,EXTID
2251,PKG15x15x10 PKG15x15x10,PKG15x15x10,PKG15x15x10,"15x15x10RSC 32ECT, 25/Bundle MOQ 25",Inventory Item,351,276,Pride Industries,153 Tigers Hayward,351,31,pride2tigers
1757,PKGCHP1RTL PKGCHP1RTL,PKGCHP1RTL,PKGCHP1RTL,"Character 4 Pack Retail Package - 0.024Kraftpak 2 color - MOQ 15,000..",Inventory Item,379,379,Pride Industries,153 Tigers Hayward,379,32,pride2tigers
344,CRM01R-PK2 CRM01R-PK2,CRM01R-PK2,CRM01R-PK2,PBK Pink Creamer,Inventory Item,435,435,Pride Industries,153 Tigers Hayward,435,33,pride2tigers
222,SUG02R-Y SUG02R-Y,SUG02R-Y,SUG02R-Y,Sugar Bowl Base - Holes added - Yellow 129C - CC10106976WE,Inventory Item,449,3337,Pride Industries,153 Tigers Hayward,449,34,pride2tigers
324,LID02R-PK2 LID02R-PK2,LID02R-PK2,LID02R-PK2,PBK Pink Kettle Lid,Inventory Item,460,460,Pride Industries,153 Tigers Hayward,460,35,pride2tigers
3800,PKGBKTGRTL PKGBKTGRTL,PKGBKTGRTL,PKGBKTGRTL,Green Toys Book with Toy Closed Gift Box Retail ,Inventory Item,531,531,Pride Industries,153 Tigers Hayward,531,36,pride2tigers
245,LID01R-Y LID01R-Y,LID01R-Y,LID01R-Y,Lid Sugar Bowl - Yellow 129 - CC10106976WE,Inventory Item,564,3452,Pride Industries,153 Tigers Hayward,564,37,pride2tigers
4079,PKG20x16x10 PKG20x16x10,PKG20x16x10,PKG20x16x10,"20x16x10 RSC 32ECT, 15/Bundle ",Inventory Item,592,592,Pride Industries,153 Tigers Hayward,592,38,pride2tigers
3792,CCKA-2PKC CCKA-2PKC,CCKA-2PKC,CCKA-2PKC,Cupcake 2 Pack Version C (VYP+PVY),Assembly/Bill of Materials,664.92,664.92,Pride Industries,153 Tigers Hayward,664.92,39,pride2tigers
3790,CCKA-2PKA CCKA-2PKA,CCKA-2PKA,CCKA-2PKA,Cupcake 2 Pack Version A (PVY + YPV),Assembly/Bill of Materials,673.92,673.92,Pride Industries,153 Tigers Hayward,673.92,40,pride2tigers
3791,CCKA-2PKB CCKA-2PKB,CCKA-2PKB,CCKA-2PKB,Cupcake 2 Pack Version B (YPV+VYP),Assembly/Bill of Materials,701.92,701.92,Pride Industries,153 Tigers Hayward,701.92,41,pride2tigers
3942,PKG10x10x2 PKG10x10x2,PKG10x10x2,PKG10x10x2,PBK custom book packs bundles of 50. ,Inventory Item,715.3,715.3,Pride Industries,153 Tigers Hayward,715.3,42,pride2tigers
1038,SAU01R-LV2 SAU01R-LV2,SAU01R-LV2,SAU01R-LV2,PBK Lavender Cup Saucer,Inventory Item,719,719,Pride Industries,153 Tigers Hayward,719,43,pride2tigers
419,PKGSTPMCT02 PKGSTPMCT02,PKGSTPMCT02,PKGSTPMCT02,Pizza Parlor Master Carton - New Design - 200T,Inventory Item,766.21996,766.21996,Pride Industries,153 Tigers Hayward,766.21996,44,pride2tigers
267,BUN01R-B BUN01R-B,BUN01R-B,BUN01R-B,Sandwich Shop Burger Bun Bottom,Inventory Item,875,875,Pride Industries,153 Tigers Hayward,875,45,pride2tigers
354,SPN01R-PK2 SPN01R-PK2,SPN01R-PK2,SPN01R-PK2,PBK Pink Spoon,Inventory Item,910,910,Pride Industries,153 Tigers Hayward,910,46,pride2tigers
452,PKGSLDAMCT PKGSLDAMCT,PKGSLDAMCT,PKGSLDAMCT,Salad Set Master Carton - 200T,Inventory Item,935.97332,935.97332,Pride Industries,153 Tigers Hayward,935.97332,47,pride2tigers
352,PETUNIA-PK PETUNIA-PK,PETUNIA-PK,PETUNIA-PK,Petunia - Pink,Inventory Item,1046,1392,Pride Industries,153 Tigers Hayward,1046,48,pride2tigers
