Internal ID,Item,Name,Display Name,Description,Type,On Hand,Available,Preferred Location,NEW LOCATION,QTY2TRNSFR,LINE,EXTID
293,DAISY-LRG-PR DAISY-LRG-PR,DAISY-LRG-PR,DAISY-LRG-PR,Daisy - Large - Purple,Inventory Item,10982,10982,Pride Industries,153 Tigers Hayward,10982,135,pride2tigers
299,PPR01R PPR01R,PPR01R,PPR01R,Pizza Parlor Pepperoni,Inventory Item,12160,12160,Pride Industries,153 Tigers Hayward,12160,136,pride2tigers
255,ONI01R ONI01R,ONI01R,ONI01R,Sandwich Shop and Pizza Parlor Onions,Inventory Item,12457,12457,Pride Industries,153 Tigers Hayward,12457,137,pride2tigers
253,HAN01R-YW HAN01R-YW,HAN01R-YW,HAN01R-YW,Toolbox Handle - Yellow - CC10106976WE,Inventory Item,13300,13300,Pride Industries,153 Tigers Hayward,13300,138,pride2tigers
290,STSA-OP STSA-OP,STSA-OP,STSA-OP,Sandwich Shop Order Pad,Inventory Item,13485,13485,Pride Industries,153 Tigers Hayward,13485,139,pride2tigers
1458,PKGDKDGTHRM PKGDKDGTHRM,PKGDKDGTHRM,PKGDKDGTHRM,Green Toys Duck/Dog Thermoform Insert - 100% PCRPET - 0.025 Thickness - 5% Mark-up - 70K Pricing,Inventory Item,13825,25,Pride Industries,153 Tigers Hayward,13825,140,pride2tigers
242,CON01R-GR CON01R-GR,CON01R-GR,CON01R-GR,Connector 2-Hole - DK Green - CC10118086WE,Inventory Item,14082,14082,Pride Industries,153 Tigers Hayward,14082,141,pride2tigers
248,CON01R-PR CON01R-PR,CON01R-PR,CON01R-PR,Connector 2-Hole - Purple - CC10107344WE,Inventory Item,14338,14338,Pride Industries,153 Tigers Hayward,14338,142,pride2tigers
2151,PKGSNWHDR2 PKGSNWHDR2,PKGSNWHDR2,PKGSNWHDR2,"Green Toys Sand & Water Play Header Card Bag - 6.25x5  - MOQ 20K; 23"" 3.6g 69 die mesh bag attached..",Inventory Item,14994,14994,Pride Industries,153 Tigers Hayward,14994,143,pride2tigers
301,STPA-OP STPA-OP,STPA-OP,STPA-OP,Pizza Parlor Order Pad,Inventory Item,16285,16285,Pride Industries,153 Tigers Hayward,16285,144,pride2tigers
2166,PKGSNWHDR1 PKGSNWHDR1,PKGSNWHDR1,PKGSNWHDR1,"Green Toys Sand & Water Play Header Card Bag - 5.25x6.5  - MOQ 20K; 23"" 3.6g 69 die mesh bag attached..",Inventory Item,16510,16510,Pride Industries,153 Tigers Hayward,16510,145,pride2tigers
4080,MES03R MES03R,MES03R,MES03R,"31"" mesh bag, 100% recycled, clear, heat sealed on one side ",Inventory Item,20368,20368,Pride Industries,153 Tigers Hayward,20368,146,pride2tigers
363,NUT01R NUT01R,NUT01R,NUT01R,Nut Grey,Inventory Item,23784,23784,Pride Industries,153 Tigers Hayward,23784,147,pride2tigers
361,BLT01R BLT01R,BLT01R,BLT01R,Bolt Grey,Inventory Item,25354,25354,Pride Industries,153 Tigers Hayward,25354,148,pride2tigers
259,SAU01R-B SAU01R-B,SAU01R-B,SAU01R-B,Saucer - Blue 298U - CC10126439WE,Inventory Item,26089,26089,Pride Industries,153 Tigers Hayward,26089,149,pride2tigers
362,NAI01R NAI01R,NAI01R,NAI01R,Nail Grey,Inventory Item,31563,31563,Pride Industries,153 Tigers Hayward,31563,150,pride2tigers
231,FLW-STEM-GR-SML FLW-STEM-GR-SML,FLW-STEM-GR-SML,FLW-STEM-GR-SML,Build-a-Bouquet Flower Stems - Light Green - Small,Inventory Item,48544,48544,Pride Industries,153 Tigers Hayward,48544,151,pride2tigers
230,FLW-STEM-GR-LRG FLW-STEM-GR-LRG,FLW-STEM-GR-LRG,FLW-STEM-GR-LRG,Build-a-Bouquet Flower Stems - Light Green - Large,Inventory Item,58130,58130,Pride Industries,153 Tigers Hayward,58130,152,pride2tigers
249,FLW-BASE-BR FLW-BASE-BR,FLW-BASE-BR,FLW-BASE-BR,Build-a-Bouquet Flower Base - Dark Green,Inventory Item,125571,125571,Pride Industries,153 Tigers Hayward,125571,153,pride2tigers
