Error,Inventory Transfer : Category,Inventory Transfer : Date,Inventory Transfer : Department,Inventory Transfer : ExternalId,Inventory Transfer : From Location,Inventory Transfer : Internal ID,Inventory Transfer : Memo,Inventory Transfer : Posting Period,Inventory Transfer : Ref. No.,Inventory Transfer : To Location,Inventory Transfer Items : Item,Inventory Transfer Items : Line,Inventory Transfer Items : Qty. To Transfer,Inventory Transfer Items : Units,External ID
Invalid item reference key PKGFLWSLVA PKGFLWSLVA.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGFLWSLVA PKGFLWSLVA,136,0,,EXT_4256
Invalid item reference key PKGFMDSLV PKGFMDSLV.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGFMDSLV PKGFMDSLV,137,0,,EXT_4223
Invalid item reference key PKGMMDSLV PKGMMDSLV.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGMMDSLV PKGMMDSLV,138,0,,EXT_4222
Invalid item reference key PKGMTDSLV PKGMTDSLV.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGMTDSLV PKGMTDSLV,139,3850,,EXT_4226
Invalid item reference key PKGRMDSLV PKGRMDSLV.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGRMDSLV PKGRMDSLV,140,0,,EXT_4224
Invalid item reference key PKGSLDA-OVSP PKGSLDA-OVSP.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGSLDA-OVSP PKGSLDA-OVSP,141,0,,EXT_1036
Invalid item reference key PKGSLDSLVA PKGSLDSLVA.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGSLDSLVA PKGSLDSLVA,144,0,,EXT_4263
Invalid item reference key PKGSTPSLVA PKGSTPSLVA.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGSTPSLVA PKGSTPSLVA,152,0,,EXT_4259
Invalid item reference key PKGSTSSLVA PKGSTSSLVA.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGSTSSLVA PKGSTSSLVA,153,0,,EXT_4260
Invalid item reference key PKGTLSBSLVA PKGTLSBSLVA.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGTLSBSLVA PKGTLSBSLVA,155,3216,,EXT_4262
Invalid item reference key PKGTLSPSLVA PKGTLSPSLVA.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGTLSPSLVA PKGTLSPSLVA,157,4526,,EXT_4261
Transaction was not complete.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SERVICES:Assembly:Assembly-CHP1 - KS SERVICES:Assembly:Assembly-CHP1 - KS,172,0,,EXT_1851
Transaction was not complete.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SPN01R-PK SPN01R-PK,178,0,,EXT_1581
Transaction was not complete.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SUG01R-PK SUG01R-PK,183,0,,EXT_1583
Invalid item reference key TEARTLINSB TEARTLINSB.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,TEARTLINSB TEARTLINSB,188,0,,EXT_4300
Invalid item reference key TEARTLINSP TEARTLINSP.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,TEARTLINSP TEARTLINSP,189,0,,EXT_4301
