"Item Code",Location,Period,"Sales Quantity","Cost of sales","Sales Value","Issues Quantity"
11299-BJ,3,2017/03/01,1200,0,16800.00,0
112994,3,2017/03/01,2112,0,35904.00,0
112994,3,2017/07/01,1920,0,32640.00,0
2420-FLIntl2,3,2016/11/01,5,0,.00,0
2420-FLIntl2,3,2017/05/01,2,0,.00,0
2420-FLIntl2,3,2016/12/01,50,0,.00,0
2420-FLIntl2,3,2016/07/01,15,0,.00,0
2420-FLIntl2,3,2016/09/01,1,0,.00,0
2420B-1148,3,2016/04/01,1,0,441.00,0
2420B-1148,7,2016/06/01,1,0,441.14,0
2420B-1148,7,2016/04/01,1,0,441.00,0
2420B-1148,7,2016/03/01,119,0,52479.00,0
3SD1-1201,3,2017/10/01,1,0,145.20,0
3SD1-1201,3,2017/08/01,132,0,18876.00,0
3SD1-1201,3,2017/05/01,4,0,495.00,0
3SD1-1201,3,2017/03/01,1,0,145.20,0
3SD1-1201,3,2016/10/01,10,0,1452.00,0
3SD1-1201,3,2017/02/01,11,0,1452.00,0
3SD1-1201,3,2016/09/01,50,0,7114.80,0
3SD1-1201,3,2017/04/01,2,0,330.00,0
3SD1-1201,3,2017/11/01,2,0,290.40,0
3SD1-1201,3,2016/12/01,50,0,4290.00,0
3SD1-1201,3,2017/06/01,10,0,1452.00,0
3SD1-1201,3,2017/09/01,168,0,24393.60,0
3SD1-1201,7,2017/07/01,3,0,290.40,0
3SD1-1201,7,2017/05/01,2,0,290.40,0
3SD1-1201,7,2016/11/01,1,0,145.20,0
3SD1-1201,7,2017/04/01,3,0,435.60,0
3SD1-1201,7,2016/10/01,36,0,5227.20,0
3SD2-1201,7,2016/10/01,10,0,1287.00,0
944997,3,2018/01/01,2898,0,42745.50,0
944997,3,2016/04/01,2898,0,44919.00,0
980026526,3,2017/09/01,3528,0,52920.00,0
980026526,3,2017/10/01,72,0,1080.00,0
AARG-1295,3,2017/10/01,2600,0,10816.00,0
AIRA-1028,2,2016/11/01,2,0,8.00,0
AIRA-1028,3,2016/11/01,896,0,6681.52,0
AIRA-1028,3,2017/02/01,24,0,180.00,0
AIRA-1028,3,2016/02/01,1032,0,6469.20,0
AIRA-1028,3,2016/03/01,1248,0,8959.60,0
AIRA-1028,3,2016/04/01,832,0,5921.20,0
AIRA-1028,3,2016/08/01,2425,0,14975.40,0
AIRA-1028,3,2016/12/01,984,0,5719.20,0
AIRA-1028,3,2017/01/01,312,0,2019.20,0
AIRA-1028,3,2017/10/01,2656,0,14665.12,0
AIRA-1028,3,2017/11/01,920,0,6560.00,0
AIRA-1028,3,2018/02/01,224,0,1687.20,0
AIRA-1028,3,2017/07/01,649,0,4639.20,0
AIRA-1028,3,2017/08/01,1128,0,8017.60,0
AIRA-1028,3,2016/07/01,1384,0,8028.72,0
AIRA-1028,3,2016/10/01,1208,0,8579.84,0
AIRA-1028,3,2016/05/01,776,0,5084.35,0
AIRA-1028,3,2017/05/01,832,0,5259.04,0
AIRA-1028,3,2017/09/01,584,0,3626.40,0
AIRA-1028,3,2018/01/01,112,0,767.20,0
AIRA-1028,3,2017/03/01,1504,0,9920.00,0
AIRA-1028,3,2017/04/01,960,0,6722.40,0
AIRA-1028,3,2016/01/01,544,0,3950.80,0
AIRA-1028,3,2017/06/01,336,0,2390.40,0
AIRA-1028,3,2017/12/01,96,0,720.00,0
AIRA-1028,3,2016/06/01,632,0,4243.15,0
AIRA-1028,3,2016/09/01,1138,0,8369.60,0
AIRA-1028,9,2016/08/01,-12,0,-94.80,0
AIRA-1028,9,2016/06/01,-42,0,-328.60,0
AIRA-1028,9,2016/09/01,-16,0,-123.20,0
AIRA-1028,9,2016/10/01,-6,0,-47.40,0
AIRA-1028,9,2017/03/01,-11,0,-86.90,0
AIRA-1028,9,2017/02/01,-4,0,-31.60,0
AIRB-1027,3,2017/05/01,906,0,6099.12,0
AIRB-1027,3,2017/11/01,4712,0,33196.32,0
AIRB-1027,3,2017/08/01,1546,0,10603.92,0
AIRB-1027,3,2017/07/01,915,0,6119.92,0
AIRB-1027,3,2016/01/01,1136,0,7205.60,0
AIRB-1027,3,2018/01/01,5094,0,23239.51,0
AIRB-1027,3,2016/04/01,1804,0,9541.60,0
AIRB-1027,3,2016/05/01,1042,0,7932.36,0
AIRB-1027,3,2016/07/01,2916,0,17776.20,0
AIRB-1027,3,2016/08/01,2368,0,16978.76,0
AIRB-1027,3,2016/03/01,1415,0,10118.60,0
AIRB-1027,3,2016/06/01,3104,0,18174.72,0
AIRB-1027,3,2017/01/01,1256,0,7029.12,0
AIRB-1027,3,2017/02/01,1803,0,9934.40,0
AIRB-1027,3,2017/04/01,1613,0,12400.48,0
AIRB-1027,3,2017/12/01,597,0,4072.61,0
AIRB-1027,3,2016/02/01,1784,0,12257.60,0
AIRB-1027,3,2016/09/01,2994,0,21404.48,0
AIRB-1027,3,2016/10/01,4907,0,35706.16,0
AIRB-1027,3,2016/11/01,8552,0,60207.04,0
AIRB-1027,3,2016/12/01,3408,0,25792.48,0
AIRB-1027,3,2017/10/01,7906,0,54838.24,0
AIRB-1027,3,2018/02/01,160,0,1067.44,0
AIRB-1027,3,2017/03/01,2033,0,14618.48,0
AIRB-1027,3,2017/06/01,5441,0,39652.96,0
AIRB-1027,3,2017/09/01,1879,0,12522.08,0
AIRB-1027,9,2017/03/01,-5,0,-39.50,0
AIRB-1027,9,2016/09/01,-8,0,-60.00,0
AIRB4-1027,3,2017/04/01,96,0,720.00,0
AIRB4-1027,3,2017/02/01,72,0,540.00,0
AIRB4-1027,3,2017/01/01,148,0,1110.00,0
AIRB4-1027,3,2017/03/01,136,0,1020.00,0
AIRB4-1027,3,2016/12/01,244,0,1830.00,0
AIRR-1026,3,2018/02/01,128,0,989.60,0
AIRR-1026,3,2016/11/01,8560,0,65572.64,0
AIRR-1026,3,2017/02/01,2057,0,10620.00,0
AIRR-1026,3,2017/07/01,2982,0,15196.56,0
AIRR-1026,3,2016/03/01,1398,0,8168.80,0
AIRR-1026,3,2016/06/01,1976,0,11782.16,0
AIRR-1026,3,2016/10/01,6011,0,40582.48,0
AIRR-1026,3,2016/04/01,3028,0,17751.40,0
AIRR-1026,3,2017/10/01,9033,0,64450.16,0
AIRR-1026,3,2017/11/01,7192,0,55885.44,0
AIRR-1026,3,2018/01/01,249,0,1872.80,0
AIRR-1026,3,2017/09/01,2554,0,17301.84,0
AIRR-1026,3,2017/01/01,3192,0,20757.92,0
AIRR-1026,3,2016/01/01,2792,0,14830.92,0
AIRR-1026,3,2016/07/01,1617,0,9974.00,0
AIRR-1026,3,2016/09/01,3926,0,24797.84,0
AIRR-1026,3,2016/12/01,2513,0,16011.44,0
AIRR-1026,3,2017/04/01,847,0,4476.08,0
AIRR-1026,3,2017/06/01,3179,0,23260.56,0
AIRR-1026,3,2017/08/01,1963,0,11809.92,0
AIRR-1026,3,2017/12/01,4127,0,32257.55,0
AIRR-1026,3,2016/02/01,4288,0,26585.60,0
AIRR-1026,3,2016/05/01,1046,0,7009.72,0
AIRR-1026,3,2016/08/01,1337,0,8962.32,0
AIRR-1026,3,2017/03/01,632,0,3499.76,0
AIRR-1026,3,2017/05/01,480,0,2577.12,0
AIRR-1026,9,2017/03/01,-7,0,-55.30,0
AKA1-1200,3,2016/06/01,0,0,.00,0
AKA1-1200,3,2016/08/01,0,0,.00,0
AKA1-1200,3,2017/02/01,0,0,.00,0
AKA1-1200,3,2016/07/01,0,0,.00,0
AKA1-1200,3,2017/04/01,0,0,.00,0
AKA1-1200,3,2016/09/01,0,0,.00,0
AKA1-1200,3,2016/10/01,0,0,.00,0
AKA1-1200,3,2017/01/01,0,0,.00,0
AKA1-1200,3,2017/03/01,0,0,.00,0
AKA1-1200,3,2017/11/01,0,0,.00,0
AKA1-1200,3,2016/11/01,0,0,.00,0
AKCC-1194,3,2017/04/01,0,0,.00,0
AKCC-1194,3,2017/02/01,0,0,.00,0
AKCC-1194,3,2016/08/01,792,0,4855.50,0
AKCC-1194,3,2016/06/01,0,0,.00,0
AKCC-1194,3,2017/01/01,0,0,.00,0
AKCC-1194,3,2016/09/01,2017,0,11745.90,0
AKCC-1194,3,2016/11/01,78,0,456.30,0
AKCC-1194,3,2016/07/01,0,0,.00,0
AKCC-1194,3,2016/10/01,0,0,.00,0
AKCC-1194,3,2017/03/01,0,0,.00,0
AKFC-1193,3,2017/03/01,0,0,.00,0
AKFC-1193,3,2016/07/01,0,0,.00,0
AKFC-1193,3,2016/08/01,0,0,.00,0
AKFC-1193,3,2016/11/01,0,0,.00,0
AKFC-1193,3,2016/06/01,0,0,.00,0
AKFC-1193,3,2017/01/01,0,0,.00,0
AKFC-1193,3,2017/02/01,0,0,.00,0
AKFC-1193,3,2016/09/01,0,0,.00,0
AKFC-1193,3,2016/10/01,0,0,.00,0
AKFC-1193,3,2017/04/01,0,0,.00,0
AKFC-1193,3,2017/05/01,0,0,.00,0
AKVC-1192,3,2016/12/01,570,0,2693.40,0
AKVC-1192,3,2016/08/01,792,0,4892.58,0
AKVC-1192,3,2016/11/01,300,0,1887.30,0
AKVC-1192,3,2016/07/01,0,0,.00,0
AKVC-1192,3,2017/08/01,18,0,126.00,0
AKVC-1192,3,2017/05/01,18,0,94.50,0
AKVC-1192,3,2017/04/01,6,0,39.00,0
AKVC-1192,3,2016/10/01,172,0,1095.00,0
AKVC-1192,3,2016/09/01,1939,0,10927.50,0
AKVC-1192,3,2016/06/01,0,0,.00,0
AKVC-1192,3,2017/03/01,60,0,390.00,0
AKVC-1192,3,2017/02/01,30,0,198.00,0
AKVC-1192,3,2017/01/01,132,0,600.60,0
ARBB-1235,3,2017/01/01,496,0,3720.00,0
ARBB-1235,3,2017/03/01,621,0,6645.60,0
ARBB-1235,3,2017/12/01,4261,0,49075.20,0
ARBB-1235,3,2018/02/01,28,0,280.00,0
ARBB-1235,3,2017/09/01,812,0,8715.08,0
ARBB-1235,3,2017/11/01,2249,0,22030.12,0
ARBB-1235,3,2017/10/01,3480,0,33559.36,0
ARBB-1235,3,2017/04/01,770,0,8701.60,0
ARBB-1235,3,2017/06/01,741,0,8389.60,0
ARBB-1235,3,2017/08/01,1988,0,20367.60,0
ARBB-1235,3,2017/07/01,1033,0,9007.20,0
ARBB-1235,3,2018/01/01,1526,0,17481.60,0
ARBB-1235,3,2017/05/01,284,0,2711.20,0
ARBB-1235,3,2017/02/01,1467,0,11117.60,0
ARBB-1235,9,2017/09/01,-1,0,-10.50,0
ARBB-1235,9,2018/01/01,-2,0,-21.00,0
ARDP-1136,3,2017/11/01,1590,0,12571.56,0
ARDP-1136,3,2016/03/01,26,0,156.00,0
ARDP-1136,3,2017/02/01,304,0,1545.60,0
ARDP-1136,3,2016/12/01,49,0,294.00,0
ARDP-1136,3,2016/10/01,50,0,300.00,0
ARDP-1136,3,2018/02/01,24,0,180.00,0
ARDP-1136,3,2018/01/01,1097,0,10265.44,0
ARDP-1136,3,2017/08/01,424,0,2385.44,0
ARDP-1136,3,2017/03/01,78,0,369.44,0
ARDP-1136,3,2016/09/01,38,0,228.00,0
ARDP-1136,3,2016/05/01,901,0,4960.00,0
ARDP-1136,3,2017/06/01,128,0,652.80,0
ARDP-1136,3,2016/11/01,342,0,1632.96,0
ARDP-1136,3,2017/12/01,768,0,7158.72,0
ARDP-1136,3,2017/09/01,460,0,2572.12,0
ARDP-1136,3,2016/08/01,10,0,60.00,0
ARDP-1136,3,2016/04/01,21,0,126.00,0
ARDP-1136,3,2017/10/01,472,0,3138.24,0
ARDP-1136,3,2017/07/01,808,0,3822.88,0
ARDP-1136,3,2016/07/01,77,0,462.00,0
BB3P-1233,3,2018/01/01,226,0,1472.44,0
BB3P-1233,3,2017/04/01,105,0,767.40,0
BB3P-1233,3,2017/03/01,162,0,1146.60,0
BB3P-1233,3,2017/02/01,773,0,5193.60,0
BB3P-1233,3,2018/02/01,8,0,60.00,0
BB3P-1233,3,2017/09/01,82,0,612.41,0
BB3P-1233,3,2017/05/01,92,0,599.44,0
BB3P-1233,3,2017/12/01,224,0,1674.92,0
BB3P-1233,3,2017/11/01,252,0,1835.12,0
BB3P-1233,3,2017/07/01,56,0,420.00,0
BB3P-1233,3,2017/06/01,200,0,1675.20,0
BB3P-1233,3,2017/10/01,1043,0,7496.29,0
BB3P-1233,3,2017/08/01,475,0,2760.04,0
BB3P-1233,3,2017/01/01,320,0,2131.20,0
BBS1-1238,3,2017/01/01,0,0,.00,0
BBS1-1238,3,2017/11/01,2044,0,18903.64,0
BBS1-1238,3,2017/06/01,84,0,813.80,0
BBS1-1238,3,2017/10/01,2663,0,28046.32,0
BBS1-1238,3,2017/09/01,793,0,7754.96,0
BBS1-1238,3,2017/03/01,1917,0,20478.40,0
BBS1-1238,3,2017/02/01,0,0,.00,0
BBS1-1238,3,2018/01/01,290,0,2333.84,0
BBS1-1238,3,2017/08/01,795,0,6824.00,0
BBS1-1238,3,2017/12/01,152,0,1320.20,0
BBS1-1238,3,2017/07/01,2140,0,18050.00,0
BBS1-1238,3,2017/05/01,826,0,6083.60,0
BBS1-1238,3,2017/04/01,656,0,5510.00,0
BBS1-1238,3,2018/02/01,32,0,328.00,0
BBS1-1238,9,2018/01/01,-1,0,-10.50,0
BBS1-1238,9,2017/07/01,-4,0,-40.00,0
BK06-TNBK,3,2016/08/01,6,0,40.50,0
BK06-TNBK,3,2016/10/01,252,0,1701.00,0
BK06-TNBK,3,2016/09/01,546,0,3685.50,0
BKA1-1210,3,2017/12/01,18,0,45.00,0
BKA1-1210,3,2017/02/01,66,0,360.00,0
BKA1-1210,3,2016/10/01,552,0,4102.50,0
BKA1-1210,3,2017/04/01,48,0,360.00,0
BKA1-1210,3,2017/11/01,24,0,180.00,0
BKA1-1210,3,2016/11/01,234,0,1530.00,0
BKA1-1210,3,2017/06/01,78,0,540.00,0
BKA1-1210,3,2017/05/01,60,0,450.00,0
BKA1-1210,3,2016/08/01,0,0,.00,0
BKA1-1210,3,2017/08/01,24,0,180.00,0
BKA1-1210,3,2017/09/01,42,0,315.00,0
BKA1-1210,3,2017/10/01,0,0,.00,0
BKA1-1210,3,2017/07/01,36,0,270.00,0
BKA1-1210,3,2017/01/01,84,0,585.00,0
BKA1-1210,3,2016/07/01,0,0,.00,0
BKA1-1210,3,2016/06/01,0,0,.00,0
BKA1-1210,3,2018/01/01,19,0,135.00,0
BKA1-1210,3,2017/03/01,18,0,153.00,0
BKA1-1210,3,2016/12/01,45,0,315.00,0
BKA1-1210,3,2016/09/01,420,0,3060.00,0
BKA1-1210,9,2016/09/01,-6,0,-45.00,0
BKBT-4341,3,2017/09/01,24,0,180.00,0
BKBT-4341,3,2017/05/01,24,0,180.00,0
BKBT-4341,3,2016/10/01,171,0,540.00,0
BKBT-4341,3,2016/07/01,672,0,772.80,0
BKBT-4341,3,2016/12/01,24,0,162.00,0
BKBT-4341,3,2016/03/01,240,0,1200.00,0
BKBT-4341,3,2016/05/01,48,0,.00,0
BKBT-4341,3,2016/11/01,32,0,13.20,0
BKBT-4341,3,2017/03/01,24,0,.00,0
BKBT-4341,3,2016/09/01,432,0,2824.80,0
BKBT-4341,3,2017/04/01,1,0,6.60,0
BKBT-4341,3,2017/07/01,24,0,193.20,0
BKBT-4341,3,2016/08/01,265,0,360.00,0
BKBT-4341,3,2017/12/01,24,0,162.00,0
BKBT-4341,3,2017/06/01,24,0,193.20,0
BKTK-4342,3,2016/07/01,384,0,772.80,0
BKTK-4342,3,2017/08/01,48,0,360.00,0
BKTK-4342,3,2016/03/01,240,0,1200.00,0
BKTK-4342,3,2016/11/01,106,0,548.40,0
BKTK-4342,3,2017/03/01,31,0,46.20,0
BKTK-4342,3,2017/11/01,48,0,360.00,0
BKTK-4342,3,2016/09/01,336,0,2631.60,0
BKTK-4342,3,2016/05/01,48,0,.00,0
BKTK-4342,3,2016/08/01,121,0,360.00,0
BKTK-4342,3,2016/12/01,697,0,5603.60,0
BKTK-4342,3,2017/05/01,24,0,.00,0
BKTK-4342,3,2016/10/01,315,0,1656.00,0
BKTK-4342,9,2016/11/01,-24,0,.00,0
BKTN-4340,3,2017/11/01,120,0,180.00,0
BKTN-4340,3,2016/03/01,240,0,1200.00,0
BKTN-4340,3,2016/07/01,384,0,772.80,0
BKTN-4340,3,2017/01/01,24,0,180.00,0
BKTN-4340,3,2017/03/01,31,0,46.20,0
BKTN-4340,3,2016/12/01,195,0,1483.20,0
BKTN-4340,3,2017/04/01,5,0,33.00,0
BKTN-4340,3,2017/12/01,0,0,.00,0
BKTN-4340,3,2018/01/01,24,0,193.20,0
BKTN-4340,3,2016/10/01,4659,0,33709.20,0
BKTN-4340,3,2016/05/01,96,0,287.52,0
BKTN-4340,3,2016/11/01,2146,0,14835.60,0
BKTN-4340,3,2016/09/01,576,0,2824.80,0
BKTN-4340,3,2016/08/01,2137,0,3666.24,0
BKTN-4340,3,2017/05/01,48,0,265.20,0
BKTN-4340,9,2016/11/01,-72,0,-360.00,0
BLKA-1110,3,2016/09/01,714,0,7161.56,0
BLKA-1110,3,2016/07/01,511,0,5085.60,0
BLKA-1110,3,2017/07/01,357,0,3754.98,0
BLKA-1110,3,2016/11/01,933,0,8883.96,0
BLKA-1110,3,2016/03/01,709,0,7985.80,0
BLKA-1110,3,2017/05/01,144,0,1515.90,0
BLKA-1110,3,2016/10/01,1357,0,13687.58,0
BLKA-1110,3,2017/10/01,780,0,8641.04,0
BLKA-1110,3,2017/12/01,559,0,6781.87,0
BLKA-1110,3,2017/01/01,690,0,7001.10,0
BLKA-1110,3,2017/02/01,216,0,2607.90,0
BLKA-1110,3,2017/03/01,204,0,2437.60,0
BLKA-1110,3,2017/04/01,461,0,4966.60,0
BLKA-1110,3,2017/08/01,555,0,6310.68,0
BLKA-1110,3,2017/11/01,960,0,9305.64,0
BLKA-1110,3,2016/04/01,773,0,8850.25,0
BLKA-1110,3,2016/06/01,858,0,8484.60,0
BLKA-1110,3,2016/02/01,3324,0,28564.80,0
BLKA-1110,3,2016/08/01,955,0,9794.88,0
BLKA-1110,3,2018/01/01,356,0,3481.80,0
BLKA-1110,3,2016/12/01,321,0,4076.80,0
BLKA-1110,3,2017/06/01,405,0,4879.20,0
BLKA-1110,3,2018/02/01,30,0,375.00,0
BLKA-1110,3,2016/01/01,318,0,3885.00,0
BLKA-1110,3,2016/05/01,253,0,2938.84,0
BLKA-1110,3,2017/09/01,496,0,4890.22,0
BLKA-1110,9,2016/10/01,-2,0,-26.30,0
BLKA-1110,9,2016/06/01,16,0,-210.40,0
BLKA-1110,9,2016/11/01,-8,0,-101.30,0
BLKA-1110,9,2016/09/01,-24,0,-311.70,0
BLKA-1110,9,2017/03/01,-6,0,-78.90,0
BLKA-1110,9,2016/07/01,8,0,-105.20,0
BLKA-1110,9,2017/02/01,-5,0,-65.75,0
BTLB-1103,2,2016/11/01,1,0,3.50,0
BTLB-1103,3,2017/09/01,571,0,2181.24,0
BTLB-1103,3,2016/11/01,1500,0,6874.80,0
BTLB-1103,3,2016/07/01,716,0,2951.40,0
BTLB-1103,3,2016/06/01,1068,0,3999.60,0
BTLB-1103,3,2016/03/01,955,0,5119.20,0
BTLB-1103,3,2018/01/01,456,0,1267.92,0
BTLB-1103,3,2017/10/01,1556,0,6370.08,0
BTLB-1103,3,2017/06/01,1203,0,5016.60,0
BTLB-1103,3,2017/01/01,948,0,3051.00,0
BTLB-1103,3,2017/04/01,108,0,280.80,0
BTLB-1103,3,2017/03/01,1,0,.00,0
BTLB-1103,3,2016/09/01,644,0,3168.60,0
BTLB-1103,3,2017/02/01,300,0,780.00,0
BTLB-1103,3,2016/02/01,1272,0,4655.40,0
BTLB-1103,3,2018/02/01,12,0,77.40,0
BTLB-1103,3,2017/11/01,1080,0,4247.40,0
BTLB-1103,3,2017/08/01,521,0,2144.40,0
BTLB-1103,3,2017/07/01,447,0,1929.00,0
BTLB-1103,3,2017/12/01,66,0,418.50,0
BTLB-1103,3,2016/12/01,289,0,919.20,0
BTLB-1103,3,2016/08/01,794,0,2537.40,0
BTLB-1103,3,2017/05/01,384,0,1846.80,0
BTLB-1103,3,2016/10/01,1525,0,6589.20,0
BTLB-1103,3,2016/04/01,2124,0,7227.00,0
BTLB-1103,3,2016/05/01,431,0,1870.20,0
BTLB-1103,3,2016/01/01,1188,0,3996.00,0
BTLB-1103,9,2017/02/01,-8,0,-50.40,0
BTLB-1103,9,2016/06/01,33,0,-207.90,0
BTLB-1103,9,2017/03/01,-11,0,-69.30,0
BTLB-12X4,7,2016/01/01,444,0,1864.80,0
BTRO-1104,3,2017/09/01,372,0,1296.84,0
BTRO-1104,3,2016/04/01,1947,0,6358.80,0
BTRO-1104,3,2017/07/01,231,0,871.20,0
BTRO-1104,3,2017/01/01,216,0,942.60,0
BTRO-1104,3,2016/08/01,108,0,688.20,0
BTRO-1104,3,2016/06/01,792,0,2937.00,0
BTRO-1104,3,2017/12/01,470,0,3031.50,0
BTRO-1104,3,2017/11/01,732,0,2534.40,0
BTRO-1104,3,2017/10/01,828,0,2752.80,0
BTRO-1104,3,2017/08/01,312,0,1070.40,0
BTRO-1104,3,2016/07/01,197,0,1242.60,0
BTRO-1104,3,2016/05/01,80,0,449.40,0
BTRO-1104,3,2017/05/01,180,0,931.80,0
BTRO-1104,3,2017/03/01,1557,0,4914.60,0
BTRO-1104,3,2016/11/01,300,0,1792.20,0
BTRO-1104,3,2016/09/01,536,0,1119.00,0
BTRO-1104,3,2016/01/01,1236,0,4264.20,0
BTRO-1104,3,2017/06/01,688,0,2334.00,0
BTRO-1104,3,2017/02/01,13,0,72.00,0
BTRO-1104,3,2016/10/01,192,0,1152.00,0
BTRO-1104,3,2016/02/01,1032,0,3155.40,0
BTRO-1104,3,2018/01/01,444,0,1149.84,0
BTRO-1104,3,2017/04/01,624,0,1973.40,0
BTRO-1104,3,2016/03/01,280,0,1120.80,0
BTRO-1104,3,2016/12/01,24,0,156.00,0
BTRO-1104,9,2017/09/01,-12,0,-75.60,0
BTRO-1104,9,2017/02/01,-7,0,-44.10,0
BTRO-12X4,7,2016/01/01,444,0,1864.80,0
BTS1-1236,3,2017/05/01,168,0,1755.00,0
BTS1-1236,3,2017/12/01,988,0,16869.00,0
BTS1-1236,3,2018/01/01,1,0,.00,0
BTS1-1236,3,2017/06/01,718,0,12382.00,0
BTS1-1236,3,2017/10/01,1948,0,30377.84,0
BTS1-1236,3,2017/02/01,910,0,10717.00,0
BTS1-1236,3,2017/07/01,128,0,1951.00,0
BTS1-1236,3,2017/04/01,181,0,2688.00,0
BTS1-1236,3,2017/08/01,1188,0,16086.30,0
BTS1-1236,3,2017/09/01,296,0,5144.52,0
BTS1-1236,3,2018/02/01,12,0,213.00,0
BTS1-1236,3,2017/03/01,784,0,11655.00,0
BTS1-1236,3,2017/01/01,636,0,6973.20,0
BTS1-1236,3,2017/11/01,2068,0,33007.84,0
BTSA-1105,3,2016/05/01,768,0,4252.08,0
BTSA-1105,3,2018/02/01,24,0,122.40,0
BTSA-1105,3,2016/10/01,948,0,5929.20,0
BTSA-1105,3,2017/12/01,156,0,716.40,0
BTSA-1105,3,2016/07/01,1044,0,5191.56,0
BTSA-1105,3,2016/11/01,576,0,3500.40,0
BTSA-1105,3,2016/12/01,216,0,1299.60,0
BTSA-1105,3,2017/07/01,468,0,2836.80,0
BTSA-1105,3,2016/06/01,876,0,4822.02,0
BTSA-1105,3,2017/10/01,1320,0,5157.48,0
BTSA-1105,3,2017/03/01,96,0,532.80,0
BTSA-1105,3,2016/02/01,588,0,3543.60,0
BTSA-1105,3,2017/02/01,804,0,3631.20,0
BTSA-1105,3,2016/08/01,1008,0,5270.40,0
BTSA-1105,3,2016/03/01,1224,0,7341.60,0
BTSA-1105,3,2017/09/01,792,0,2982.48,0
BTSA-1105,3,2017/06/01,731,0,3801.60,0
BTSA-1105,3,2017/08/01,468,0,2842.80,0
BTSA-1105,3,2018/01/01,216,0,1299.60,0
BTSA-1105,3,2017/11/01,456,0,2539.20,0
BTSA-1105,3,2016/04/01,696,0,4236.00,0
BTSA-1105,3,2016/09/01,891,0,5362.20,0
BTSA-1105,3,2017/04/01,0,0,.00,0
BTSA-1105,3,2016/01/01,1176,0,6462.00,0
BTSA-1105,3,2017/01/01,204,0,1227.60,0
BTSA-1105,3,2017/05/01,1044,0,6322.80,0
BTSA-1105,9,2016/10/01,-8,0,-50.40,0
BTSA-1105,9,2016/09/01,-28,0,-169.20,0
BTSA-1105,9,2017/08/01,-7,0,-44.10,0
BTSA-1105,9,2017/05/01,-2,0,-12.60,0
BTSA-1105,9,2017/02/01,-128,0,-806.40,0
BTSA-1105,9,2016/08/01,-16,0,-97.20,0
BTSA-1105,9,2017/03/01,-26,0,-163.80,0
BTSA-1105,9,2017/01/01,-35,0,-220.50,0
BTSA-1105,9,2016/11/01,-12,0,-75.60,0
BTSG-1102,3,2016/04/01,2109,0,7131.00,0
BTSG-1102,3,2016/06/01,1044,0,3882.00,0
BTSG-1102,3,2016/12/01,348,0,1286.40,0
BTSG-1102,3,2017/06/01,379,0,1299.00,0
BTSG-1102,3,2017/11/01,732,0,2511.00,0
BTSG-1102,3,2017/08/01,289,0,922.80,0
BTSG-1102,3,2017/10/01,1492,0,5817.36,0
BTSG-1102,3,2016/10/01,764,0,2588.40,0
BTSG-1102,3,2017/05/01,180,0,915.60,0
BTSG-1102,3,2016/02/01,1932,0,7003.80,0
BTSG-1102,3,2018/02/01,0,0,.00,0
BTSG-1102,3,2016/03/01,646,0,2972.40,0
BTSG-1102,3,2016/08/01,618,0,2574.00,0
BTSG-1102,3,2017/01/01,780,0,2877.00,0
BTSG-1102,3,2016/07/01,974,0,3796.80,0
BTSG-1102,3,2017/03/01,300,0,1350.00,0
BTSG-1102,3,2017/09/01,432,0,1365.00,0
BTSG-1102,3,2016/05/01,386,0,1770.60,0
BTSG-1102,3,2016/09/01,548,0,2581.80,0
BTSG-1102,3,2016/11/01,672,0,1881.60,0
BTSG-1102,3,2017/02/01,204,0,576.60,0
BTSG-1102,3,2017/04/01,0,0,.00,0
BTSG-1102,3,2017/07/01,219,0,1229.40,0
BTSG-1102,3,2017/12/01,74,0,477.30,0
BTSG-1102,3,2018/01/01,132,0,851.40,0
BTSG-1102,3,2016/01/01,672,0,2559.60,0
BTSG-1102,9,2016/09/01,-9,0,-56.70,0
BTSG-1102,9,2016/06/01,56,0,-352.80,0
BTSG-1102,9,2017/02/01,-9,0,-56.70,0
BTSG-12X4,3,2017/10/01,12,0,50.40,0
BTSG-12X4,7,2016/01/01,444,0,1864.80,0
BWL01R,3,2017/08/01,5000,0,2150.00,0
BWL01R,3,2017/12/01,4000,0,1720.00,0
BWL01R,3,2016/12/01,5250,0,2257.50,0
BWL01R,3,2016/03/01,2500,0,1075.00,0
BWL01R,3,2017/07/01,4000,0,1720.00,0
BWL01R,3,2017/05/01,4500,0,1935.00,0
BWL01R,3,2016/05/01,4500,0,1935.00,0
BWL01R,3,2017/03/01,3000,0,1290.00,0
BWLA-1534,3,2016/07/01,24,0,98.40,0
BWLA-1534,3,2017/03/01,12,0,48.00,0
BWLA-1534,3,2016/09/01,12,0,50.40,0
BWLA-1534,3,2016/05/01,36,0,120.54,0
BWLA-1534,3,2016/10/01,24,0,98.40,0
BWLA-1534,3,2017/01/01,12,0,50.40,0
BWLA-1534,3,2016/11/01,48,0,192.00,0
BWLA-1534,3,2016/08/01,48,0,196.80,0
BWLA-1534,3,2016/01/01,12,0,48.00,0
BWLA-1534,3,2017/04/01,0,0,.00,0
BWLA-1534,3,2016/03/01,108,0,439.20,0
BWLA-1534,3,2016/04/01,24,0,98.40,0
BWLA-1534,3,2016/02/01,84,0,340.80,0
BWLA-1534,3,2017/02/01,0,0,.00,0
BWLB-1505,3,2017/10/01,50,0,192.00,0
