"Item Code",Description,"Netstock Unit of Measure","Unit Volume","Unit Weight","Superseded Item Code","Supersession Item Factor","Not Used","Unique Identifier"
DMSUB-1297,"DM Submarine
",,,.83,,,,4289
DMT1-1245,"Green Toys Tools Essentials Dough Set",,,0,,,,4169
DPLA-1538,"Green Eats Divided Plates - 2 per set - Assorted Case",,,.59,,,,21
DPLB-1507,"Green Eats Divided Plates - 2 per set - Blue",,,.59,,,,35
DPLG-1546,"Green Eats Divided Plates - 2 per set - Green",,,.59,,,,33
DPLO-1544,"Green Eats Divided Plates - 2 per set - Orange",,,.59,,,,28
DPLY-1545,"Green Eats Divided Plates - 2 per set - Yellow",,,.59,,,,29
DRM1-1246,"Green Toys Race Car Maker Dough Set",,,0,,,,4160
DS4A-1241,"Green Toys Dough 4 Pack
",,,0,,,,4392
DSA1-1247,"Dough Sampler Pack - 7 Units; 1ea of the sets above, 2 dough 4 pack",,,,,,,4171
DSH01R,"Green Toys Dish Set - 24 piece set",,,1.66,,,,936
DTK01R,"GT  Dump Truck",,,2.25,,,,137
DTK01REC,"GT  Dump Truck",,,2.25,,,,4294
DTKBO-1283,"Dump Truck - Blue and Orange
",,,2.25,,,,4219
DTKP-1010,"GT  Pink Dump Truck",,,2.25,,,,116
DTKP-1010EC,"GT  Pink Dump Truck",,,2.25,,,,4295
DTKT-1278,"Green Toys Dump Truck - Turquoise/Yellow",,,2.25,,,,4175
ECS01R,"GT  EcoSaucer Flying Disc",,,.57,,,,86
ENGR-1154,"Green Toys Fire Engine......
",,,,,,,3607
ENGR3-1154,"Green Toys Fire Engine......
",,,,,,,4019
ENGR4-1154,"Green Toys Fire Engine......
",,,,,,,4403
FLRA-1481,"GT  Flatbed Truck w/ Race Car",,,1.71,,,,72
FLRA-1481EC,"GT  Flatbed Truck w/ Race Car",,,1.71,,,,4296
FLWA-1012,"Green Toys Build-a-Bouquet",,,1.6,,,,618
FLWA2-1285,"Green Toys Build-a-Bouquet 4C
",,,1.6,,,,4274
FRBA-1038,"GT  Ferry Boat with Fastbacks",,,1.65,,,,73
FRBA-1038EC,"GT  Ferry Boat with Fastbacks",,,1.65,,,,4297
FRBA2-1038,"GT  Ferry Boat with Fastbacks",,,1.65,,,,4017
FRBB-1046,"GT  Ferry Boat with Fastbacks - Blue",,,1.65,,,,805
FRBGW-1290,"Ferry Boat - Green/White
",,,1.65,,,,4250
FRBW-1045,"GT  Ferry Boat with Fastbacks - White",,,1.65,,,,806
FTK01R,"GT  Fire Truck",,,1.98,,,,138
GAR01R,"Green Toys Indoor Gardening Kit",,,1.42,,,,937
HELA-1062,"GT  Helicopter - Assortment",,,1.22,,,,78
HELB-1060,"GT  Helicopter - Blue",,,1.22,,,,104
HELG-1061,"GT  Helicopter - Green",,,1.22,,,,95
JGR01R,"Green Toys Jump Rope Green",,,.21,,,,1053
JMP01R-A,"Green Toys Jump Rope Assortment - 4 Green, 4 Pink, 4 Purple",,,.21,,,,1049
JPK01R,"Green Toys Jump Rope Pink",,,.21,,,,1050
JPR01R,"Green Toys Jump Rope Purple",,,.21,,,,1051
