Inventory Transfer : Category,Inventory Transfer : Date,Inventory Transfer : Department,Inventory Transfer : ExternalId,Inventory Transfer : From Location,Inventory Transfer : Internal ID,Inventory Transfer : Memo,Inventory Transfer : Posting Period,Inventory Transfer : Ref. No.,Inventory Transfer : To Location,Inventory Transfer Items : Item,Inventory Transfer Items : Line,Inventory Transfer Items : Qty. To Transfer,Inventory Transfer Items : Units,External ID
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGFLWARIS02 PKGFLWARIS02,134,4747,,EXT_411
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGFLWARTL PKGFLWARTL,135,2557,,EXT_451
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGFLWSLVA PKGFLWSLVA,136,0,,EXT_4256
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGFMDSLV PKGFMDSLV,137,0,,EXT_4223
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGMMDSLV PKGMMDSLV,138,0,,EXT_4222
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGMTDSLV PKGMTDSLV,139,3850,,EXT_4226
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGRMDSLV PKGRMDSLV,140,0,,EXT_4224
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGSLDA-OVSP PKGSLDA-OVSP,141,0,,EXT_1036
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGSLDAMCT PKGSLDAMCT,142,935.97332,,EXT_452
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGSLDARTL PKGSLDARTL,143,2710,,EXT_453
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGSLDSLVA PKGSLDSLVA,144,0,,EXT_4263
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGSNWHDR1 PKGSNWHDR1,145,16510,,EXT_2166
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGSNWHDR2 PKGSNWHDR2,146,14994,,EXT_2151
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGSNWTAG PKGSNWTAG,147,3511,,EXT_2156
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGSTPMCT02 PKGSTPMCT02,148,766.21996,,EXT_419
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGSTPRIS PKGSTPRIS,149,5178,,EXT_412
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGSTPRIS02 PKGSTPRIS02,150,5616,,EXT_431
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGSTPRTL02 PKGSTPRTL02,151,5914,,EXT_1034
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGSTPSLVA PKGSTPSLVA,152,0,,EXT_4259
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGSTSSLVA PKGSTSSLVA,153,0,,EXT_4260
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGTEARTL02 PKGTEARTL02,154,6333,,EXT_420
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGTLSBSLVA PKGTLSBSLVA,155,3216,,EXT_4262
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGTLSMCT02 PKGTLSMCT02,156,176.07228,,EXT_429
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGTLSPSLVA PKGTLSPSLVA,157,4526,,EXT_4261
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGTLSRTL02 PKGTLSRTL02,158,6971,,EXT_415
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKL01R PKL01R,159,10550,,EXT_313
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PLI01R-GR PLI01R-GR,160,7057,,EXT_273
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PLI01R-YW PLI01R-YW,161,8366,,EXT_269
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PPR01R PPR01R,162,12160,,EXT_299
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SAU01R-B SAU01R-B,163,26089,,EXT_259
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SAU01R-LV2 SAU01R-LV2,164,719,,EXT_1038
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SAU01R-P SAU01R-P,165,5091,,EXT_288
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SAW01R-GR SAW01R-GR,166,6306,,EXT_284
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SAW01R-YW SAW01R-YW,167,7618,,EXT_279
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SCF01R-GR SCF01R-GR,168,9232,,EXT_247
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SCF01R-PR SCF01R-PR,169,5428,,EXT_250
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SCP01R-GR SCP01R-GR,170,7067,,EXT_238
