Internal ID,Name,Display Name,Description,Type,Preferred Location
339,DAISY-PLG-PK,DAISY-PLG-PK,Daisy Plug - Pink,Inventory Item,196 Tigers Hayward
322,DAISY-PLG-PR,DAISY-PLG-PR,Daisy Plug - Purple,Inventory Item,197 Tigers Hayward
323,DAISY-PLG-YW,DAISY-PLG-YW,Daisy Plug - Yellow,Inventory Item,198 Tigers Hayward
319,DAISY-SML-PK,DAISY-SML-PK,Daisy - Small - Pink,Inventory Item,199 Tigers Hayward
295,DAISY-SML-PR,DAISY-SML-PR,Daisy - Small - Purple,Inventory Item,200 Tigers Hayward
296,DAISY-SML-YW,DAISY-SML-YW,Daisy - Small - Yellow,Inventory Item,201 Tigers Hayward
249,FLW-BASE-BR,FLW-BASE-BR,Build-a-Bouquet Flower Base - Dark Green,Inventory Item,206 Tigers Hayward
230,FLW-STEM-GR-LRG,FLW-STEM-GR-LRG,Build-a-Bouquet Flower Stems - Light Green - Large,Inventory Item,207 Tigers Hayward
231,FLW-STEM-GR-SML,FLW-STEM-GR-SML,Build-a-Bouquet Flower Stems - Light Green - Small,Inventory Item,208 Tigers Hayward
3778,FRST-PK,FRST-PK,Cupcake Frosting Pink ,Inventory Item,211 Tigers Hayward
3784,FRST-VN,FRST-VN,Cupcake Frosting Vanilla ,Inventory Item,212 Tigers Hayward
3781,FRST-YW,FRST-YW,Cupcake Frosting Yellow ,Inventory Item,213 Tigers Hayward
262,HAM01R-GR,HAM01R-GR,Hammer - DK Green - CC10118086WE,Inventory Item,214 Tigers Hayward
268,HAM01R-PR,HAM01R-PR,Hammer - Purple - CC10107344WE,Inventory Item,215 Tigers Hayward
252,HAN01R-GR,HAN01R-GR,Tool Box Handle - Green - CC10106972WE,Inventory Item,216 Tigers Hayward
253,HAN01R-YW,HAN01R-YW,Toolbox Handle - Yellow - CC10106976WE,Inventory Item,217 Tigers Hayward
232,KTB01R-B,KTB01R-B,Kettle Bottom - Redesign - Blue 298U-CC10106972WE,Inventory Item,218 Tigers Hayward
258,KTB01R-PK2,KTB01R-PK2,PBK Pink Kettle Bottom - Redesign,Inventory Item,219 Tigers Hayward
332,LID01R-PK2,LID01R-PK2,PBK Sugar Bowl Lid,Inventory Item,221 Tigers Hayward
245,LID01R-Y,LID01R-Y,Lid Sugar Bowl - Yellow 129 - CC10106976WE,Inventory Item,222 Tigers Hayward
324,LID02R-PK2,LID02R-PK2,PBK Pink Kettle Lid,Inventory Item,223 Tigers Hayward
224,LID02R-Y,LID02R-Y,Lid Tea Pot - New Design - Yellow 129C - CC10106976WE,Inventory Item,224 Tigers Hayward
325,LILY-LRG-PK,LILY-LRG-PK,Lily - Large - Pink,Inventory Item,225 Tigers Hayward
305,LILY-LRG-PR,LILY-LRG-PR,Lily - Large - Purple,Inventory Item,226 Tigers Hayward
306,LILY-LRG-YW,LILY-LRG-YW,Lily - Large - Yellow,Inventory Item,227 Tigers Hayward
346,LILY-PLG-PK,LILY-PLG-PK,Lily Plug - Pink,Inventory Item,228 Tigers Hayward
333,LILY-PLG-PR,LILY-PLG-PR,Lily Plug - Purple,Inventory Item,229 Tigers Hayward
334,LILY-PLG-YW,LILY-PLG-YW,Lily Plug - Yellow,Inventory Item,230 Tigers Hayward
326,LILY-SML-PK,LILY-SML-PK,Lily - Small - Pink,Inventory Item,231 Tigers Hayward
307,LILY-SML-PR,LILY-SML-PR,Lily - Small - Purple,Inventory Item,232 Tigers Hayward
308,LILY-SML-YW,LILY-SML-YW,Lily - Small - Yellow,Inventory Item,233 Tigers Hayward
3786,LNR-PK,LNR-PK,Cupcake Liner Pink ,Inventory Item,234 Tigers Hayward
3783,LNR-VN,LNR-VN,Cupcake Liner Vanilla ,Inventory Item,235 Tigers Hayward
3780,LNR-YW,LNR-YW,Cupcake Liner Yellow ,Inventory Item,236 Tigers Hayward
309,LTC01R,LTC01R,Sandwich Shop Lettuce,Inventory Item,237 Tigers Hayward
221,MES01R,MES01R,"16"" mesh bag, 100% recycled, clear, heat sealed on one side",Inventory Item,238 Tigers Hayward
2159,MES02R,MES02R,"22"" mesh bag, 100% recycled, clear, heat sealed on one side- MOQ 25,000....",Inventory Item,239 Tigers Hayward
4080,MES03R,MES03R,"31"" mesh bag, 100% recycled, clear, heat sealed on one side ",Inventory Item,240 Tigers Hayward
298,MSH01R,MSH01R,Pizza Parlor Mushrooms,Inventory Item,241 Tigers Hayward
362,NAI01R,NAI01R,Nail Grey,Inventory Item,242 Tigers Hayward
363,NUT01R,NUT01R,Nut Grey,Inventory Item,243 Tigers Hayward
255,ONI01R,ONI01R,Sandwich Shop and Pizza Parlor Onions,Inventory Item,244 Tigers Hayward
283,PEP01R-G,PEP01R-G,Pizza Parlor Green Peppers,Inventory Item,245 Tigers Hayward
246,PEP01R-R,PEP01R-R,Sandwich Shop and Pizza Parlor Red Peppers,Inventory Item,246 Tigers Hayward
352,PETUNIA-PK,PETUNIA-PK,Petunia - Pink,Inventory Item,247 Tigers Hayward
327,PETUNIA-PLG-PK,PETUNIA-PLG-PK,Petunia Plug - Pink,Inventory Item,248 Tigers Hayward
311,PETUNIA-PLG-PR,PETUNIA-PLG-PR,Petunia Plug - Purple,Inventory Item,249 Tigers Hayward
312,PETUNIA-PLG-YW,PETUNIA-PLG-YW,Petunia Plug - Yellow,Inventory Item,250 Tigers Hayward
347,PETUNIA-PR,PETUNIA-PR,Petunia - Purple,Inventory Item,251 Tigers Hayward
348,PETUNIA-YW,PETUNIA-YW,Petunia - Yellow,Inventory Item,252 Tigers Hayward
3942,PKG10x10x2,PKG10x10x2,PBK custom book packs bundles of 50. ,Inventory Item,253 Tigers Hayward
1766,PKG12x9x6,PKG12x9x6,"12x9x6 RSC 32ECT, 25/Bundle MOQ 25 ..",Inventory Item,254 Tigers Hayward
2253,PKG15x11x11,PKG15x11x11,"15x11x11 RSC 32ECT,  25/Bundle MOQ 25, 300 unit pricing ..",Inventory Item,255 Tigers Hayward
2251,PKG15x15x10,PKG15x15x10,"15x15x10RSC 32ECT, 25/Bundle MOQ 25",Inventory Item,256 Tigers Hayward
1769,PKG16x12x10,PKG16x12x10,"16x12x10 RSC 32ECT, 25/Bundle MOQ 25 ..",Inventory Item,257 Tigers Hayward
1764,PKG18x9x9,PKG18x9x9,"18x9x9 RSC 32ECT, 25/Bundle MOQ 25 ..",Inventory Item,258 Tigers Hayward
2252,PKG20x15x9,PKG20x15x9,"20x15x9 RSC 32ECT, 15/Bundle MOQ 25",Inventory Item,259 Tigers Hayward
4079,PKG20x16x10,PKG20x16x10,"20x16x10 RSC 32ECT, 15/Bundle ",Inventory Item,260 Tigers Hayward
1765,PKG24x12x8,PKG24x12x8,"24x12x8 RSC 32ECT, 25/Bundle - MOQ 25....",Inventory Item,261 Tigers Hayward
3801,PKGBKTGMCT,PKGBKTGMCT,Green Toys Book with Toy Closed Gift Box Master ,Inventory Item,262 Tigers Hayward
3800,PKGBKTGRTL,PKGBKTGRTL,Green Toys Book with Toy Closed Gift Box Retail ,Inventory Item,263 Tigers Hayward
1759,PKGCHP1MCT,PKGCHP1MCT,"Character 4 Pack Master Carton - 200T..- MOQ 1,250",Inventory Item,264 Tigers Hayward
1757,PKGCHP1RTL,PKGCHP1RTL,"Character 4 Pack Retail Package - 0.024Kraftpak 2 color - MOQ 15,000..",Inventory Item,265 Tigers Hayward
