Inventory Transfer : Category,Inventory Transfer : Date,Inventory Transfer : Department,Inventory Transfer : ExternalId,Inventory Transfer : From Location,Inventory Transfer : Internal ID,Inventory Transfer : Memo,Inventory Transfer : Posting Period,Inventory Transfer : Ref. No.,Inventory Transfer : To Location,Inventory Transfer Items : Item,Inventory Transfer Items : Line,Inventory Transfer Items : Qty. To Transfer,Inventory Transfer Items : Units,External ID
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SAW01R-YW,167,7618,,EXT_279
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SCF01R-GR,168,9232,,EXT_247
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SCF01R-PR,169,5428,,EXT_250
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SCP01R-GR,170,7067,,EXT_238
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SCP01R-PR,171,5696,,EXT_239
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SERVICES:Assembly:Assembly-CHP1 - KS,172,0,,EXT_1851
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SLDA-OIL,173,4326,,EXT_314
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SLDA-PEP,174,4628,,EXT_337
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SLDA-SAL,175,4007,,EXT_351
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SLDA-VIN,176,5762,,EXT_343
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SPK01R-SLDA,177,4351,,EXT_285
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SPN01R-PK,178,0,,EXT_1581
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SPN01R-PK2,179,910,,EXT_354
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SPN01R-SLDA,180,4202,,EXT_286
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,STPA-OP,181,16285,,EXT_301
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,STSA-OP,182,13485,,EXT_290
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SUG01R-PK,183,0,,EXT_1583
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SUG02R-PK2,184,9,,EXT_223
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SUG02R-Y,185,449,,EXT_222
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,TBX01R-BL,186,7186,,EXT_1037
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,TBX01R-PK,187,6397,,EXT_274
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,TEARTLINSB,188,0,,EXT_4300
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,TEARTLINSP,189,0,,EXT_4301
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,TOM01R-G,190,3555,,EXT_280
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,TOM01R-R,191,11069,,EXT_241
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,WRE01R-GR,192,8645,,EXT_275
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,WRE01R-YW,193,8445,,EXT_272
