Internal ID,Internal ID,Name,Display Name,Description,Type
256,256,BWLY-SLDA,BWLY-SLDA,Yellow Bowl for Salad Set - EcoPrime,Inventory Item
3782,3782,CAK-PK,CAK-PK,Cupcake Cake Pink ,Inventory Item
3779,3779,CAK-VN,CAK-VN,Cupcake Cake Vanilla ,Inventory Item
3785,3785,CAK-YW,CAK-YW,Cupcake Cake Yellow ,Inventory Item
3790,3790,CCKA-2PKA,CCKA-2PKA,Cupcake 2 Pack Version A (PVY + YPV),Assembly/Bill of Materials
3791,3791,CCKA-2PKB,CCKA-2PKB,Cupcake 2 Pack Version B (YPV+VYP),Assembly/Bill of Materials
3792,3792,CCKA-2PKC,CCKA-2PKC,Cupcake 2 Pack Version C (VYP+PVY),Assembly/Bill of Materials
3787,3787,CCKIND-PVY,CCKIND-PVY,"Cupcake (Individual) - Pink Frosting, Vanilla Cake, Yellow Liner",Assembly/Bill of Materials
3789,3789,CCKIND-VYP,CCKIND-VYP,"Cupcake (Individual) - Vanilla Frosting, Yellow Cake, Pink Liner",Assembly/Bill of Materials
3788,3788,CCKIND-YPV,CCKIND-YPV,"Cupcake (Individual) - Yellow Frosting, Pink Cake, Vanilla Liner",Assembly/Bill of Materials
1035,1035,CHS01R-P,CHS01R-P,Pizza Parlor Cheese,Inventory Item
316,316,CHS01R-S,CHS01R-S,Sandwich Shop Cheese,Inventory Item
277,277,CKN01R,CKN01R,Sandwich Shop Chicken Fillet,Inventory Item
242,242,CON01R-GR,CON01R-GR,Connector 2-Hole - DK Green - CC10118086WE,Inventory Item
248,248,CON01R-PR,CON01R-PR,Connector 2-Hole - Purple - CC10107344WE,Inventory Item
344,344,CRM01R-PK2,CRM01R-PK2,PBK Pink Creamer,Inventory Item
260,260,CRM01R-R,CRM01R-R,Creamer - Red Cap - CC10126692WE,Inventory Item
331,331,CST01R,CST01R,Pizza Parlor Crust,Inventory Item
345,345,CUP01R-PK2,CUP01R-PK2,PBK Pink Tea Cup,Inventory Item
261,261,CUP01R-R,CUP01R-R,Tea Cup - Red Cap - CC10126692WE,Inventory Item
287,287,CUT01R,CUT01R,Pizza Parlor Pizza Cutter,Inventory Item
318,318,DAISY-LRG-PK,DAISY-LRG-PK,Daisy - Large - Pink,Inventory Item
293,293,DAISY-LRG-PR,DAISY-LRG-PR,Daisy - Large - Purple,Inventory Item
294,294,DAISY-LRG-YW,DAISY-LRG-YW,Daisy - Large - Yellow,Inventory Item
339,339,DAISY-PLG-PK,DAISY-PLG-PK,Daisy Plug - Pink,Inventory Item
322,322,DAISY-PLG-PR,DAISY-PLG-PR,Daisy Plug - Purple,Inventory Item
323,323,DAISY-PLG-YW,DAISY-PLG-YW,Daisy Plug - Yellow,Inventory Item
319,319,DAISY-SML-PK,DAISY-SML-PK,Daisy - Small - Pink,Inventory Item
295,295,DAISY-SML-PR,DAISY-SML-PR,Daisy - Small - Purple,Inventory Item
296,296,DAISY-SML-YW,DAISY-SML-YW,Daisy - Small - Yellow,Inventory Item
3774,3774,FLAKA-ASSY,FLAKA-ASSY,Flower- Activity kit assembly A ,Assembly/Bill of Materials
3775,3775,FLAKB-ASSY,FLAKB-ASSY,Flower- Activity kit assembly B,Assembly/Bill of Materials
3776,3776,FLAKC-ASSY,FLAKC-ASSY,Flower- Activity kit assembly C,Assembly/Bill of Materials
3777,3777,FLAKD-ASSY,FLAKD-ASSY,Flower- Activity kit assembly D,Assembly/Bill of Materials
249,249,FLW-BASE-BR,FLW-BASE-BR,Build-a-Bouquet Flower Base - Dark Green,Inventory Item
230,230,FLW-STEM-GR-LRG,FLW-STEM-GR-LRG,Build-a-Bouquet Flower Stems - Light Green - Large,Inventory Item
231,231,FLW-STEM-GR-SML,FLW-STEM-GR-SML,Build-a-Bouquet Flower Stems - Light Green - Small,Inventory Item
618,618,FLWA-1012,FLWA-1012,Green Toys Build-a-Bouquet,Assembly/Bill of Materials
4274,4274,FLWA2-1285,FLWA2-1285,Green Toys Build-a-Bouquet 4C ,Assembly/Bill of Materials
3778,3778,FRST-PK,FRST-PK,Cupcake Frosting Pink ,Inventory Item
3784,3784,FRST-VN,FRST-VN,Cupcake Frosting Vanilla ,Inventory Item
3781,3781,FRST-YW,FRST-YW,Cupcake Frosting Yellow ,Inventory Item
262,262,HAM01R-GR,HAM01R-GR,Hammer - DK Green - CC10118086WE,Inventory Item
268,268,HAM01R-PR,HAM01R-PR,Hammer - Purple - CC10107344WE,Inventory Item
252,252,HAN01R-GR,HAN01R-GR,Tool Box Handle - Green - CC10106972WE,Inventory Item
253,253,HAN01R-YW,HAN01R-YW,Toolbox Handle - Yellow - CC10106976WE,Inventory Item
232,232,KTB01R-B,KTB01R-B,Kettle Bottom - Redesign - Blue 298U-CC10106972WE,Inventory Item
258,258,KTB01R-PK2,KTB01R-PK2,PBK Pink Kettle Bottom - Redesign,Inventory Item
1464,1464,LABOR -  CHP1 - KS,LABOR -  CHP1 - KS,LABOR - Character 4-Pack (CHP1) Assemby Cost (KS),Inventory Item
4315,4315,LABOR - 6pk-books,LABOR - 6pk-books,LABOR - for 6 pack of books ,Inventory Item
4316,4316,LABOR - AKCC-Pride,LABOR - AKCC-Pride,LABOR-AKCC-Pride ,Inventory Item
4318,4318,LABOR - AKFC-Pride,LABOR - AKFC-Pride,Labor - Flower Activity Kits,Inventory Item
4319,4319,LABOR - AKVC-Pride,LABOR - AKVC-Pride,LABOR-AKVC-Pride ,Inventory Item
4333,4333,LABOR - LBBK-Pride,LABOR - LBBK-Pride,LABOR - for Book & Launch boat set in closed box ,Inventory Item
4311,4311,LABOR - Sand & Water Dumper (Pride),LABOR - Sand & Water Dumper (Pride),LABOR - Sand & Water Dumper (Pride) ,Inventory Item
4312,4312,LABOR - Sand & Water Rescue Boat  (Pride),LABOR - Sand & Water Rescue Boat  (Pride),LABOR - Sand & Water Rescue Boat  (Pride) ,Inventory Item
4313,4313,LABOR - Sand & Water Scooper (pride),LABOR - Sand & Water Scooper (pride),LABOR - Sand & Water Scooper (pride) ,Inventory Item
4335,4335,LABOR - SCBK-Pride,LABOR - SCBK-Pride,LABOR - cost for Book & Scooper set in closed box ,Inventory Item
3941,3941,LBBK-1191,LBBK-1191,Book & Launch Boat Set - Closed Box ,Assembly/Bill of Materials
332,332,LID01R-PK2,LID01R-PK2,PBK Sugar Bowl Lid,Inventory Item
245,245,LID01R-Y,LID01R-Y,Lid Sugar Bowl - Yellow 129 - CC10106976WE,Inventory Item
324,324,LID02R-PK2,LID02R-PK2,PBK Pink Kettle Lid,Inventory Item
224,224,LID02R-Y,LID02R-Y,Lid Tea Pot - New Design - Yellow 129C - CC10106976WE,Inventory Item
325,325,LILY-LRG-PK,LILY-LRG-PK,Lily - Large - Pink,Inventory Item
305,305,LILY-LRG-PR,LILY-LRG-PR,Lily - Large - Purple,Inventory Item
306,306,LILY-LRG-YW,LILY-LRG-YW,Lily - Large - Yellow,Inventory Item
346,346,LILY-PLG-PK,LILY-PLG-PK,Lily Plug - Pink,Inventory Item
333,333,LILY-PLG-PR,LILY-PLG-PR,Lily Plug - Purple,Inventory Item
334,334,LILY-PLG-YW,LILY-PLG-YW,Lily Plug - Yellow,Inventory Item
326,326,LILY-SML-PK,LILY-SML-PK,Lily - Small - Pink,Inventory Item
307,307,LILY-SML-PR,LILY-SML-PR,Lily - Small - Purple,Inventory Item
308,308,LILY-SML-YW,LILY-SML-YW,Lily - Small - Yellow,Inventory Item
3786,3786,LNR-PK,LNR-PK,Cupcake Liner Pink ,Inventory Item
3783,3783,LNR-VN,LNR-VN,Cupcake Liner Vanilla ,Inventory Item
3780,3780,LNR-YW,LNR-YW,Cupcake Liner Yellow ,Inventory Item
309,309,LTC01R,LTC01R,Sandwich Shop Lettuce,Inventory Item
221,221,MES01R,MES01R,"16"" mesh bag, 100% recycled, clear, heat sealed on one side",Inventory Item
2159,2159,MES02R,MES02R,"22"" mesh bag, 100% recycled, clear, heat sealed on one side- MOQ 25,000....",Inventory Item
4080,4080,MES03R,MES03R,"31"" mesh bag, 100% recycled, clear, heat sealed on one side ",Inventory Item
298,298,MSH01R,MSH01R,Pizza Parlor Mushrooms,Inventory Item
362,362,NAI01R,NAI01R,Nail Grey,Inventory Item
363,363,NUT01R,NUT01R,Nut Grey,Inventory Item
255,255,ONI01R,ONI01R,Sandwich Shop and Pizza Parlor Onions,Inventory Item
283,283,PEP01R-G,PEP01R-G,Pizza Parlor Green Peppers,Inventory Item
246,246,PEP01R-R,PEP01R-R,Sandwich Shop and Pizza Parlor Red Peppers,Inventory Item
352,352,PETUNIA-PK,PETUNIA-PK,Petunia - Pink,Inventory Item
327,327,PETUNIA-PLG-PK,PETUNIA-PLG-PK,Petunia Plug - Pink,Inventory Item
311,311,PETUNIA-PLG-PR,PETUNIA-PLG-PR,Petunia Plug - Purple,Inventory Item
312,312,PETUNIA-PLG-YW,PETUNIA-PLG-YW,Petunia Plug - Yellow,Inventory Item
347,347,PETUNIA-PR,PETUNIA-PR,Petunia - Purple,Inventory Item
348,348,PETUNIA-YW,PETUNIA-YW,Petunia - Yellow,Inventory Item
3942,3942,PKG10x10x2,PKG10x10x2,PBK custom book packs bundles of 50. ,Inventory Item
1766,1766,PKG12x9x6,PKG12x9x6,"12x9x6 RSC 32ECT, 25/Bundle MOQ 25 ..",Inventory Item
2253,2253,PKG15x11x11,PKG15x11x11,"15x11x11 RSC 32ECT,  25/Bundle MOQ 25, 300 unit pricing ..",Inventory Item
2251,2251,PKG15x15x10,PKG15x15x10,"15x15x10RSC 32ECT, 25/Bundle MOQ 25",Inventory Item
1769,1769,PKG16x12x10,PKG16x12x10,"16x12x10 RSC 32ECT, 25/Bundle MOQ 25 ..",Inventory Item
1764,1764,PKG18x9x9,PKG18x9x9,"18x9x9 RSC 32ECT, 25/Bundle MOQ 25 ..",Inventory Item
2252,2252,PKG20x15x9,PKG20x15x9,"20x15x9 RSC 32ECT, 15/Bundle MOQ 25",Inventory Item
4079,4079,PKG20x16x10,PKG20x16x10,"20x16x10 RSC 32ECT, 15/Bundle ",Inventory Item
1765,1765,PKG24x12x8,PKG24x12x8,"24x12x8 RSC 32ECT, 25/Bundle - MOQ 25....",Inventory Item
3801,3801,PKGBKTGMCT,PKGBKTGMCT,Green Toys Book with Toy Closed Gift Box Master ,Inventory Item
3800,3800,PKGBKTGRTL,PKGBKTGRTL,Green Toys Book with Toy Closed Gift Box Retail ,Inventory Item
1759,1759,PKGCHP1MCT,PKGCHP1MCT,"Character 4 Pack Master Carton - 200T..- MOQ 1,250",Inventory Item
1757,1757,PKGCHP1RTL,PKGCHP1RTL,"Character 4 Pack Retail Package - 0.024Kraftpak 2 color - MOQ 15,000..",Inventory Item
1761,1761,PKGCHP1THRMB,PKGCHP1THRMB,"Character 4 Pack Retail Thermoform Bottom (0.020 Thick) - SD - MOQ 20,000..",Inventory Item
1758,1758,PKGCHP1THRMT,PKGCHP1THRMT,"Character 4 Pack Retail Thermoform Top(0.020 Thick) - SD - MOQ 20,000..",Inventory Item
4254,4254,PKGCLSDBIG,PKGCLSDBIG,Closed BigBox_V17003922_Retail ,Inventory Item
4255,4255,PKGCLSDBIGMCT,PKGCLSDBIGMCT,Closed BigBox_Master Carton ,Inventory Item
4265,4265,PKGCLSDMID,PKGCLSDMID,Closed Mid Box_(123)_23165621-12-C  ,Inventory Item
4267,4267,PKGCLSDMIDMCT,PKGCLSDMIDMCT,Closed Mid Box_Master Carton ,Inventory Item
4264,4264,PKGCLSDSHRT,PKGCLSDSHRT,Closed Short_V17003916_Retail ,Inventory Item
4266,4266,PKGCLSDSHRTMCT,PKGCLSDSHRTMCT,Closed Short_Master Carton  ,Inventory Item
4225,4225,PKGCMDSLV,PKGCMDSLV,Cake Maker Retail Sleeve; 4CP 16PT CHIP C1S #23165621-16  ,Inventory Item
1469,1469,PKGCSCARTL,PKGCSCARTL,Scooper Retail Package w. Insert - 150E,Inventory Item
3951,3951,PKGCST-INS-2 qty,PKGCST-INS-2 qty,Inserts for Scooper,Inventory Item
4228,4228,PKGD4PKMCT,PKGD4PKMCT,"Dough 4PK, 6 Unit Master Carton; 200T - 23943122-06-6PK ",Inventory Item
4227,4227,PKGD4PKRTL,PKGD4PKRTL,"Dough 4PK Retail Carton; 1C Flexo kraft, 23796747-02-Box  ",Inventory Item
4229,4229,PKGD4PKSLV,PKGD4PKSLV,Dough 4PK Retail Sleeve; 4CP 16PT CHIP C1S #23796747-02-A ,Inventory Item
1458,1458,PKGDKDGTHRM,PKGDKDGTHRM,Green Toys Duck/Dog Thermoform Insert - 100% PCRPET - 0.025 Thickness - 5% Mark-up - 70K Pricing,Inventory Item
4221,4221,PKGDSTMCT,PKGDSTMCT,Dough Set Master Carton; 200T  ,Inventory Item
4220,4220,PKGDSTRTL,PKGDSTRTL,Dough Set Retail Carton; 1C Flexo kraft; 23165621-12-F-Box ,Inventory Item
441,441,PKGFLWAMCT,PKGFLWAMCT,Build-a-Bouquet Master Carton - 200E,Inventory Item
413,413,PKGFLWARIS01,PKGFLWARIS01,Build-a-Bouquet Retail Insert - Flower Part holder - 150E,Inventory Item
411,411,PKGFLWARIS02,PKGFLWARIS02,Build-a-Bouquet Retail Insert - 4 Color Storage Box for parts,Inventory Item
451,451,PKGFLWARTL,PKGFLWARTL,Build-a-Bouquet Retail Package - 150E,Inventory Item
4256,4256,PKGFLWSLVA,PKGFLWSLVA,BuildaBouquet_Sleeve_V17003923_OL_LQ_20170630  ,Inventory Item
4223,4223,PKGFMDSLV,PKGFMDSLV,Flower Maker Retail Sleeve; 4CP 16PT CHIP C1S #23165621-16 ,Inventory Item
4222,4222,PKGMMDSLV,PKGMMDSLV,Meal Maker Retail Sleeve; 4CP 16PT CHIP C1S #23165621-16 ,Inventory Item
4226,4226,PKGMTDSLV,PKGMTDSLV,Tool Essentials Retail Sleeve; 4CP 16PT CHIP C1S #23165621-16  ,Inventory Item
4224,4224,PKGRMDSLV,PKGRMDSLV,Race Maker Retail Sleeve; 4CP 16PT CHIP C1S #23165621-16 ,Inventory Item
1036,1036,PKGSLDA-OVSP,PKGSLDA-OVSP,Salad Set Folding Oil & Vinegar Bottle and Salt & Pepper Shakers,Inventory Item
452,452,PKGSLDAMCT,PKGSLDAMCT,Salad Set Master Carton - 200T,Inventory Item
453,453,PKGSLDARTL,PKGSLDARTL,Salad Set Retail Carton - 150E,Inventory Item
4263,4263,PKGSLDSLVA,,Salad Set Sleeve_23165621-16_OL_LQ_20170630  ,Inventory Item
2166,2166,PKGSNWHDR1,PKGSNWHDR1,"Green Toys Sand & Water Play Header Card Bag - 5.25x6.5  - MOQ 20K; 23"" 3.6g 69 die mesh bag attached..",Inventory Item
2151,2151,PKGSNWHDR2,PKGSNWHDR2,"Green Toys Sand & Water Play Header Card Bag - 6.25x5  - MOQ 20K; 23"" 3.6g 69 die mesh bag attached..",Inventory Item
2156,2156,PKGSNWTAG,PKGSNWTAG,Green Toys Sand and Water Tag - Mohawk 100% recycled tags - Full color (2 sided) - 5K Pricing..,Inventory Item
419,419,PKGSTPMCT02,PKGSTPMCT02,Pizza Parlor Master Carton - New Design - 200T,Inventory Item
412,412,PKGSTPRIS,PKGSTPRIS,Pizza Parlor Retail Insert - White Pizza box - 1 Color 150T,Inventory Item
431,431,PKGSTPRIS02,PKGSTPRIS02,Pizza Parlor Retail Insert - Kraft - 150T,Inventory Item
1034,1034,PKGSTPRTL02,PKGSTPRTL02,Pizza Parlor Retail Package - New Design - 150T,Inventory Item
4259,4259,PKGSTPSLVA,PKGSTPSLVA,Pizza_Sleeve_V17003923_OL_LQ_20170630 ,Inventory Item
4260,4260,PKGSTSSLVA,PKGSTSSLVA,Sandwich_Sleeve_V17003923_OL_LQ_20170630  ,Inventory Item
420,420,PKGTEARTL02,PKGTEARTL02,Tea Set Retail Package - BU1493 BLUE - for TEAB-1074,Inventory Item
4262,4262,PKGTLSBSLVA,,BlueToolSet Sleeve_V17003917 ,Inventory Item
429,429,PKGTLSMCT02,PKGTLSMCT02,Tool Set Master Carton - New Design - 200C,Inventory Item
4261,4261,PKGTLSPSLVA,PKGTLSPSLVA,PinkToolSet Sleeve_V17003917 ,Inventory Item
415,415,PKGTLSRTL02,PKGTLSRTL02,Tool Set Retail Carton w/Insert - New Design - 150E,Inventory Item
313,313,PKL01R,PKL01R,Sandwich Shop Pickles,Inventory Item
273,273,PLI01R-GR,PLI01R-GR,Pliers - Green - CC10106972WE,Inventory Item
269,269,PLI01R-YW,PLI01R-YW,Pliers - Yellow - CC10106976WE,Inventory Item
299,299,PPR01R,PPR01R,Pizza Parlor Pepperoni,Inventory Item
259,259,SAU01R-B,SAU01R-B,Saucer - Blue 298U - CC10126439WE,Inventory Item
1038,1038,SAU01R-LV2,SAU01R-LV2,PBK Lavender Cup Saucer,Inventory Item
288,288,SAU01R-P,SAU01R-P,Pizza Parlor Pizza Sauce,Inventory Item
284,284,SAW01R-GR,SAW01R-GR,Saw - Green - CC10106972WE,Inventory Item
279,279,SAW01R-YW,SAW01R-YW,Saw - Yellow - CC10106976WE,Inventory Item
3940,3940,SCBK-1190,SCBK-1190,Book & Scooper Set - Closed Box ,Assembly/Bill of Materials
247,247,SCF01R-GR,SCF01R-GR,Screwdriver Flat - DK Green - CC10118086WE,Inventory Item
250,250,SCF01R-PR,SCF01R-PR,Screwdriver Flat - Purple - CC10107344WE,Inventory Item
238,238,SCP01R-GR,SCP01R-GR,Screwdriver Phillips - DK Green - CC10118086WE,Inventory Item
239,239,SCP01R-PR,SCP01R-PR,Screwdriver Phillips - Purple - CC10107344WE,Inventory Item
1851,1851,SERVICES:Assembly:Assembly-CHP1 - KS,SERVICES:Assembly:Assembly-CHP1 - KS,,Inventory Item
314,314,SLDA-OIL,SLDA-OIL,Salad Set - Olive Oil,Inventory Item
337,337,SLDA-PEP,SLDA-PEP,Salad Set - Pepper,Inventory Item
351,351,SLDA-SAL,SLDA-SAL,Salad Set - Salt,Inventory Item
343,343,SLDA-VIN,SLDA-VIN,Salad Set Vinegar,Inventory Item
285,285,SPK01R-SLDA,SPK01R-SLDA,Orange Spork for Salad Set,Inventory Item
1581,1581,SPN01R-PK,SPN01R-PK,Pink Spoon,Inventory Item
354,354,SPN01R-PK2,SPN01R-PK2,PBK Pink Spoon,Inventory Item
286,286,SPN01R-SLDA,SPN01R-SLDA,Orange Spoon for Salad Set,Inventory Item
301,301,STPA-OP,STPA-OP,Pizza Parlor Order Pad,Inventory Item
290,290,STSA-OP,STSA-OP,Sandwich Shop Order Pad,Inventory Item
1583,1583,SUG01R-PK,SUG01R-PK,Pink Sugar Bowl Base,Inventory Item
223,223,SUG02R-PK2,SUG02R-PK2,PBK Pink Sugar Bowl Base 2013 - Holes added 07/15/2013,Inventory Item
222,222,SUG02R-Y,SUG02R-Y,Sugar Bowl Base - Holes added - Yellow 129C - CC10106976WE,Inventory Item
1037,1037,TBX01R-BL,TBX01R-BL,Toolbox - CC10133673WE Blue ,Inventory Item
274,274,TBX01R-PK,TBX01R-PK,Toolbox - Pink - CC10107335WE,Inventory Item
4300,4300,TEARTLINSB,TEARTLINSB,2017 Tea Retail (Blue) with Inserts,Inventory Item
4301,4301,TEARTLINSP,TEARTLINSP,2017 Tea Retail (Purple) with Inserts ,Inventory Item
280,280,TOM01R-G,TOM01R-G,Pizza Parlor Green Tomatoes,Inventory Item
241,241,TOM01R-R,TOM01R-R,Sandwich Shop and Pizza Parlor Red Tomatoes,Inventory Item
275,275,WRE01R-GR,WRE01R-GR,Wrench - Green - CC10106972WE,Inventory Item
272,272,WRE01R-YW,WRE01R-YW,Wrench - Yellow - CC10106976WE,Inventory Item
