Internal ID,project internal ID,Name,customer internal ID,Customer,Class,Contract Date,Start Date,Status,Project Type,Projected End Date
1641,1641,Goldman Sachs : Goldman Sachs Annual Retainer 2014,71,Goldman Sachs,,1/10/2014,1/10/2014, ,,
1642,1642,Goldman Sachs : Goldman Sachs Annual Retainer 2015,71,Goldman Sachs,,1/1/2015,1/1/2015, ,,
1643,1643,Goodyear Tire & Rubber Company : Goodyear Annual Retainer 2013,72,Goodyear Tire & Rubber Company,,4/1/2013,6/1/2013, ,,
1646,1646,Goodyear Tire & Rubber Company : Goodyear Annual Retainer 2015,72,Goodyear Tire & Rubber Company,,9/10/2015,9/1/2015, ,,
2645,2645,Goodyear Tire & Rubber Company : Goodyear Annual Retainer 2016,72,Goodyear Tire & Rubber Company,Annual Retainer,9/21/2016,9/1/2016, ,,
1644,1644,Goodyear Tire & Rubber Company : Goodyear SoP 2013,72,Goodyear Tire & Rubber Company,,10/9/2013,9/6/2013, ,,
1645,1645,Goodyear Tire & Rubber Company : Goodyear SoP 2014,72,Goodyear Tire & Rubber Company,,10/20/2014,9/1/2014, ,,
1647,1647,Government Income Properties Trust : Govt Prop Income Trust Annual Retainer 2013,1448,Government Income Properties Trust,,8/22/2013,8/22/2013, ,,
1648,1648,Government Income Properties Trust : Govt Prop Income Trust Annual Retainer 2014,1448,Government Income Properties Trust,,8/6/2014,7/1/2014, ,,
1649,1649,Hasbro : Hasbro SoP 2014,73,Hasbro,,9/26/2014,9/9/2014, ,,
16154,16154,Honeywell : Honeywell Annual Retainer 2017,74,Honeywell,Annual Retainer,4/10/2017,5/1/2017, ,,
1650,1650,Honeywell : Honeywell SoP 2015,74,Honeywell,,3/27/2015,3/23/2015, ,,
1651,1651,Honeywell : Honeywell SoP 2016,74,Honeywell,,5/10/2016,5/10/2016, ,,
1652,1652,Hospitality Properties Trust : Hospitality Prop Trust Annual Retainer 2013,1450,Hospitality Properties Trust,,9/13/2013,9/13/2013, ,,
1653,1653,Hospitality Properties Trust : Hospitality Prop Trust Annual Retainer 2014,1450,Hospitality Properties Trust,,8/6/2014,7/1/2014, ,,
1654,1654,HP Enterprise : HP Enterprise Annual Retainer 2015,75,HP Enterprise,,8/17/2015,11/1/2015, ,,
8363,8363,HP Enterprise : HP Enterprise Annual Retainer 2016,75,HP Enterprise,Annual Retainer,11/26/2016,11/1/2016, ,,
1657,1657,HP Inc : HP Inc Annual Retainer 2013,76,HP Inc,,7/16/2013,4/30/2013, ,,
1658,1658,HP Inc : HP Inc Annual Retainer 2014,76,HP Inc,,4/1/2014,5/1/2014, ,,
1659,1659,HP Inc : HP Inc Annual Retainer 2015 1,76,HP Inc,,7/20/2015,5/1/2015, ,,
1660,1660,HP Inc : HP Inc Annual Retainer 2015 2,76,HP Inc,,8/17/2015,11/1/2015, ,,
2637,2637,HP Inc : HP Inc Annual Retainer 2016,76,HP Inc,,7/19/2016,11/1/2016, ,,
16712,16712,HP Inc : HP Inc Annual Retainer 2017,76,HP Inc,Annual Retainer,6/23/2017,11/1/2017,Awarded,,
1656,1656,HP Inc : HP Inc Other 2013,76,HP Inc,,6/1/2013,6/1/2013, ,,
1655,1655,HP Inc : HP Inc Shareholder Proposal 2012,76,HP Inc,,12/14/2012,12/16/2012, ,,
1661,1661,Incapture Investments : Incapture Investments Other 2014,1451,Incapture Investments,,11/21/2014,11/10/2014, ,,
13490,13490,Intercontinental Exchange : Intercontinental Exchange Annual Retainer 2017,1452,Intercontinental Exchange,Annual Retainer,1/18/2017,1/18/2017,Awarded,,
1662,1662,Intercontinental Exchange : Intercontinental Exchange Other 2016,1452,Intercontinental Exchange,,6/21/2016,6/21/2016, ,,
16688,16688,Intercontinental Exchange : Intercontinental Exchange Other 2017,1452,Intercontinental Exchange,Other,5/16/2017,5/16/2017,Awarded,,
1663,1663,International Paper Company : International Paper Annual Retainer 2014,77,International Paper Company,,5/7/2014,5/7/2014, ,,
1664,1664,International Paper Company : International Paper Annual Retainer 2016,77,International Paper Company,,2/24/2016,2/24/2016, ,,
1665,1665,Intuit : Intuit Annual Retainer 2015,78,Intuit,,5/20/2015,6/1/2015, ,,
1666,1666,Intuit : Intuit Annual Retainer 2016,78,Intuit,,4/26/2016,6/1/2016, ,,
16689,16689,Intuit : Intuit Annual Retainer 2017,78,Intuit,Annual Retainer,5/1/2017,6/1/2017,Awarded,,
1667,1667,J.P. Morgan : JPMorgan Annual Retainer 2013,79,J.P. Morgan,,6/21/2013,6/21/2013, ,,
1669,1669,J.P. Morgan : JPMorgan Annual Retainer 2014,79,J.P. Morgan,,5/21/2014,6/1/2014, ,,
1671,1671,J.P. Morgan : JPMorgan Annual Retainer 2015,79,J.P. Morgan,,6/2/2015,6/1/2015, ,,
1673,1673,J.P. Morgan : JPMorgan Annual Retainer 2016,79,J.P. Morgan,,5/26/2016,6/1/2016, ,,
16571,16571,J.P. Morgan : JPMorgan Annual Retainer 2017,79,J.P. Morgan,Annual Retainer,5/30/2017,6/1/2017,Awarded,,
16568,16568,J.P. Morgan : JPMorgan Other 2017,79,J.P. Morgan,Other,5/31/2017,3/27/2017,Awarded,,
1672,1672,J.P. Morgan : JPMorgan Shareholder Proposal 2016,79,J.P. Morgan,,3/16/2016,3/16/2016, ,,
16569,16569,J.P. Morgan : JPMorgan Shareholder Proposal 2017,79,J.P. Morgan,Shareholder Proposal,5/31/2017,3/27/2017,Awarded,,
1668,1668,J.P. Morgan : JPMorgan SoP 2014,79,J.P. Morgan,,4/14/2014,4/14/2014, ,,
1670,1670,J.P. Morgan : JPMorgan SoP 2015,79,J.P. Morgan,,3/24/2015,3/3/2015, ,,
16570,16570,J.P. Morgan : JPMorgan SoP 2017,79,J.P. Morgan,SoP,5/31/2017,3/27/2017,Awarded,,
2638,2638,Kaiser Aluminum Corporation : Kaiser Aluminum Annual Retainer 2016,2430,Kaiser Aluminum Corporation,Annual Retainer,9/7/2016,9/7/2016, ,,
8362,8362,Kate Spade : Kate Spade Annual Retainer 2016,80,Kate Spade,Annual Retainer,10/13/2016,9/30/2016, ,,
1674,1674,Kate Spade : Kate Spade SoP 2015,80,Kate Spade,,11/4/2015,11/3/2015, ,,
1676,1676,Kilroy Realty Corp : Kilroy Annual Retainer 2015 1,81,Kilroy Realty Corp,,1/13/2015,1/1/2015, ,,
1677,1677,Kilroy Realty Corp : Kilroy Annual Retainer 2015 2,81,Kilroy Realty Corp,,12/22/2015,1/1/2016, ,,
13491,13491,Kilroy Realty Corp : Kilroy Annual Retainer 2017,81,Kilroy Realty Corp,Annual Retainer,12/6/2016,1/1/2017,Awarded,,
1675,1675,Kilroy Realty Corp : Kilroy Shareholder Proposal 2014,81,Kilroy Realty Corp,,1/15/2014,1/15/2014, ,,
16690,16690,Knowles : Knowles Annual Retainer 2017,15635,Knowles,Annual Retainer,4/21/2017,4/21/2017,Awarded,,
16691,16691,Knowles : Knowles SoP 2017,15635,Knowles,SoP,4/21/2017,4/21/2017,Awarded,,
1678,1678,Kroger : Kroger Annual Retainer 2016,82,Kroger,,3/16/2016,3/16/2016, ,,
15227,15227,Kroger : Kroger Annual Retainer 2017,82,Kroger,Annual Retainer,1/6/2017,1/3/2017,Awarded,,
15228,15228,Kroger : Kroger Other 2017,82,Kroger,Other,1/6/2017,1/1/2017,Awarded,,
1680,1680,LabCorp : LabCorp Annual Retainer 2014,83,LabCorp,,12/18/2014,12/1/2014, ,,
1681,1681,LabCorp : LabCorp Annual Retainer 2015,83,LabCorp,,12/3/2015,12/1/2015, ,,
13492,13492,LabCorp : LabCorp Annual Retainer 2017,83,LabCorp,Annual Retainer,12/14/2016,12/1/2016,Awarded,,
1679,1679,LabCorp : LabCorp SoP 2013,83,LabCorp,,12/17/2013,12/17/2013, ,,
13478,13478,Leucadia National : Lecuadia SoP 2016,84,Leucadia National,SoP,11/22/2016,12/1/2016,Awarded,,
16158,16158,Legg Mason : Legg Mason SoP 2017,16048,Legg Mason,SoP,5/2/2017,5/2/2017,Awarded,,
16707,16707,LendingClub : LendingClub Annual Retainer 2017,16043,LendingClub,Annual Retainer,5/26/2017,5/26/2017,Awarded,,
13477,13477,Leucadia National : Leucadia Annual Retainer 2016,84,Leucadia National,Annual Retainer,11/22/2016,12/1/2016,Awarded,,
1682,1682,Leucadia National : Leucadia SoP 2014,84,Leucadia National,,12/9/2014,3/1/2015, ,,
1683,1683,Leucadia National : Leucadia SoP 2015,84,Leucadia National,,12/9/2015,12/1/2015, ,,
1684,1684,Macerich : Macerich Annual Retainer 2015,85,Macerich,,2/26/2015,2/26/2015, ,,
1685,1685,Macerich : Macerich Vote No 2015,85,Macerich,,4/15/2015,4/15/2015, ,,
1686,1686,Marathon Oil Corporation : Marathon Shareholder Proposal 2015,86,Marathon Oil Corporation,,3/3/2015,3/3/2015, ,,
1688,1688,Mattel : Mattel Annual Retainer 2015,87,Mattel,,9/22/2015,8/12/2015, ,,
2639,2639,Mattel : Mattel Annual Retainer 2016,87,Mattel,,8/4/2016,8/1/2016, ,,
1687,1687,Mattel : Mattel Shareholder Proposal 2015,87,Mattel,,5/26/2015,5/8/2015, ,,
1689,1689,Mattel : Mattel Shareholder Proposal 2016,87,Mattel,,3/7/2016,3/7/2016, ,,
16572,16572,Mattel : Mattel SoP 2017,87,Mattel,SoP,3/28/2017,3/28/2017,Awarded,,
1691,1691,McDermott : McDermott Annual Retainer 2015,88,McDermott,,6/1/2015,6/1/2015, ,,
2640,2640,McDermott : McDermott Annual Retainer 2016,88,McDermott,,8/25/2016,8/25/2016, ,,
1692,1692,McDermott : McDermott SoP 2016,88,McDermott,,3/9/2016,3/9/2016, ,,
1690,1690,McDermott : McDermott Vote No 2015,88,McDermott,,4/28/2015,4/28/2015, ,,
1693,1693,McDonald's Corp : McDonald's Annual Retainer 2014,89,McDonald's Corp,,10/1/2014,10/1/2014, ,,
1695,1695,McDonald's Corp : McDonald's Annual Retainer 2015,89,McDonald's Corp,,10/29/2015,10/1/2015, ,,
1694,1694,McDonald's Corp : McDonald's Shareholder Proposal 2015,89,McDonald's Corp,,3/10/2015,2/18/2015, ,,
1699,1699,McKesson Corporation : McKesson Annual Retainer 2015,90,McKesson Corporation,,1/27/2015,1/27/2015, ,,
1697,1697,McKesson Corporation : McKesson Shareholder Proposal 2013,90,McKesson Corporation,,7/1/2013,7/1/2013, ,,
1696,1696,McKesson Corporation : McKesson SoP 2013,90,McKesson Corporation,,5/8/2013,5/8/2013, ,,
1698,1698,McKesson Corporation : McKesson SoP 2014,90,McKesson Corporation,,3/10/2014,3/10/2014, ,,
2641,2641,MDC Holdings Inc. : MDC Holdings Annual Retainer 2016,2435,MDC Holdings Inc.,,8/11/2016,8/11/2016, ,,
2642,2642,MDC Holdings Inc. : MDC Holdings SoP 2016,2435,MDC Holdings Inc.,,8/11/2016,8/11/2016, ,,
1700,1700,Medical Prop Trust : Medical Prop Trust SoP 2015,91,Medical Prop Trust,,10/28/2015,10/28/2015, ,,
1701,1701,Microsoft Corporation : Microsoft Activism 2013 1,92,Microsoft Corporation,,4/1/2013,4/1/2013, ,,
1702,1702,Microsoft Corporation : Microsoft Activism 2013 2,92,Microsoft Corporation,,12/19/2013,1/1/2014, ,,
1704,1704,Microsoft Corporation : Microsoft Annual Retainer 2016,92,Microsoft Corporation,,1/6/2016,2/1/2016, ,,
13494,13494,Microsoft Corporation : Microsoft Annual Retainer 2017,92,Microsoft Corporation,Annual Retainer,1/9/2017,2/1/2017,Awarded,,
1703,1703,Microsoft Corporation : Microsoft SoP 2014,92,Microsoft Corporation,,7/11/2014,7/11/2014, ,,
1705,1705,Microsoft Corporation : Microsoft SoP 2016,92,Microsoft Corporation,,2/11/2016,3/1/2016, ,,
1706,1706,Morgan Stanley client : Morgan Stanley Annual Retainer 2015,93,Morgan Stanley client,,9/25/2015,9/1/2015, ,,
1707,1707,The Madison Square Garden Company : MSG Activism 2014,1525,The Madison Square Garden Company,,9/6/2014,9/6/2014, ,,
16692,16692,The Madison Square Garden Company : MSG Activism 2017,1525,The Madison Square Garden Company,Activism,3/17/2017,3/6/2017,Awarded,,
8356,8356,The Madison Square Garden Company : MSG Annual Retainer 2017,1525,The Madison Square Garden Company,,9/16/2016,9/16/2016, ,,
16694,16694,MSG Network : MSG Network Other 2017,16050,MSG Network,Other,5/31/2017,5/19/2017,Awarded,,
13495,13495,The Madison Square Garden Company : MSG Other 2016,1525,The Madison Square Garden Company,Other,11/28/2016,11/28/2016, ,,
16693,16693,The Madison Square Garden Company : MSG Vote No 2017,1525,The Madison Square Garden Company,Vote No,12/31/2017,3/6/2017,Awarded,,
16159,16159,Mylan : Mylan Other 2017,14909,Mylan,Other,3/27/2017,3/27/2017,Awarded,,
16160,16160,Mylan : Mylan SoP 2017,14909,Mylan,SoP,6/30/2017,4/11/2017,Awarded,,
15225,15225,Neustar : Neustar Other 2017,2431,Neustar,Other,1/23/2017,1/23/2017,Awarded,,
1708,1708,New York Community Bancorp : New York Community Bancorp Annual Retainer 2014,96,New York Community Bancorp,,12/22/2014,12/22/2014, ,,
1709,1709,News Corp : News Corp Annual Retainer 2016,97,News Corp,Annual Retainer,3/11/2016,3/11/2016, ,,
16695,16695,News Corp : News Corp Annual Retainer 2017,97,News Corp,Annual Retainer,2/24/2017,3/11/2017,Awarded,,
1710,1710,Norfolk Southern : Norfolk Southern M&A 2015,98,Norfolk Southern,,11/27/2015,11/13/2015, ,,
1711,1711,Norfolk Southern : Norfolk Southern Shareholder Proposal 2016,98,Norfolk Southern,,4/8/2016,4/8/2016, ,,
1712,1712,Northrop Grumman : Northrop Annual Retainer 2015,99,Northrop Grumman,,11/24/2015,11/18/2015, ,,
13496,13496,Northrop Grumman : Northrop Annual Retainer 2017,99,Northrop Grumman,Annual Retainer,11/5/2016,11/1/2016, ,,
1713,1713,"NRG Energy, Inc. : NRG SoP 2013",1455,"NRG Energy, Inc.",,1/28/2013,5/15/2013, ,,
1714,1714,NVIDIA : Nvidia Other 2013,1456,NVIDIA,,5/23/2013,5/23/2013, ,,
1715,1715,Occidental Petroleum Corporation : Occidental Annual Retainer 2013,1457,Occidental Petroleum Corporation,,4/1/2013,4/1/2013, ,,
